%time,field.header.seq,field.header.stamp,field.header.frame_id,field.GPS_INS_Time,field.GPS_IMU_Time,field.GPS_mSOW.data,field.LLH.x,field.LLH.y,field.LLH.z,field.YPR.x,field.YPR.y,field.YPR.z,field.OriQuat.x,field.OriQuat.y,field.OriQuat.z,field.OriQuat.w,field.Vel_ENU.x,field.Vel_ENU.y,field.Vel_ENU.z,field.Solution_Status.data,field.Pos_STD.x,field.Pos_STD.y,field.Pos_STD.z,field.Heading_STD,field.USW
1778036277808285062,1372,1778036277807793999,F2008915,0.0,0.0,269895785,24.789451709,120.995956519,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277808372205,1373,1778036277807888228,F2008915,0.0,0.0,269895795,24.789451709,120.995956522,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277808403316,1374,1778036277807993134,F2008915,0.0,0.0,269895805,24.789451709,120.995956522,100.728,256.52,-0.32,-1.43,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277846162537,1375,1778036277845559466,F2008915,0.0,0.0,269895815,24.78945171,120.995956523,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277846178088,1376,1778036277845649820,F2008915,0.0,0.0,269895825,24.78945171,120.995956523,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277846189609,1377,1778036277845707850,F2008915,0.0,0.0,269895835,24.789451711,120.995956524,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277846243568,1378,1778036277845764127,F2008915,0.0,0.0,269895845,24.78945171,120.995956527,100.728,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277883792855,1379,1778036277883370267,F2008915,0.0,0.0,269895855,24.789451711,120.995956528,100.727,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277884009845,1380,1778036277883527605,F2008915,0.0,0.0,269895865,24.789451711,120.995956528,100.727,256.52,-0.31,-1.42,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1778036277884041301,1382,1778036277883695818,F2008915,0.0,0.0,269895885,24.789451712,120.99595653,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277917341527,1383,1778036277916961036,F2008915,0.0,0.0,269895895,24.789451711,120.995956532,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1778036277917350217,1384,1778036277917025577,F2008915,0.0,0.0,269895905,24.789451711,120.995956532,100.727,256.52,-0.32,-1.42,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277917363806,1385,1778036277917059268,F2008915,0.0,0.0,269895915,24.789451711,120.995956532,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277955201994,1386,1778036277954723299,F2008915,0.0,0.0,269895925,24.789451711,120.995956532,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1778036277955242963,1387,1778036277954808382,F2008915,0.0,0.0,269895935,24.78945171,120.995956531,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277955514510,1388,1778036277954871666,F2008915,0.0,0.0,269895945,24.78945171,120.995956531,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277955628167,1389,1778036277954926548,F2008915,0.0,0.0,269895955,24.789451708,120.995956534,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277992963498,1390,1778036277992500578,F2008915,0.0,0.0,269895965,24.789451707,120.995956533,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277993058189,1391,1778036277992597911,F2008915,0.0,0.0,269895975,24.789451707,120.995956533,100.727,256.52,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277993083126,1392,1778036277992651616,F2008915,0.0,0.0,269895985,24.789451707,120.995956533,100.727,256.52,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036277993088703,1393,1778036277992740545,F2008915,0.0,0.0,269895995,24.789451706,120.995956532,100.727,256.52,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278026486882,1394,1778036278026107819,F2008915,0.0,0.0,269896005,24.789451705,120.995956531,100.727,256.5,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278026510211,1395,1778036278026179725,F2008915,0.0,0.0,269896015,24.789451706,120.995956534,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278026532288,1396,1778036278026243550,F2008915,0.0,0.0,269896025,24.789451705,120.995956533,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278064422653,1397,1778036278064006989,F2008915,0.0,0.0,269896035,24.789451703,120.995956532,100.727,256.5,-0.32,-1.41,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278064440772,1398,1778036278064139107,F2008915,0.0,0.0,269896045,24.789451702,120.99595653,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278064651080,1399,1778036278064227521,F2008915,0.0,0.0,269896055,24.789451699,120.995956535,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278064861177,1400,1778036278064309662,F2008915,0.0,0.0,269896065,24.789451698,120.995956534,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278098131184,1401,1778036278097607278,F2008915,0.0,0.0,269896075,24.789451698,120.995956533,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278098158173,1402,1778036278097699934,F2008915,0.0,0.0,269896085,24.789451696,120.995956532,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278098179706,1403,1778036278097755134,F2008915,0.0,0.0,269896095,24.789451694,120.995956534,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278136179840,1404,1778036278135315476,F2008915,0.0,0.0,269896105,24.789451692,120.995956535,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278136216011,1405,1778036278135378449,F2008915,0.0,0.0,269896115,24.789451691,120.995956534,100.727,256.5,-0.32,-1.39,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278136232284,1406,1778036278135429709,F2008915,0.0,0.0,269896125,24.78945169,120.995956532,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278136558460,1407,1778036278135586659,F2008915,0.0,0.0,269896135,24.789451688,120.995956531,100.727,256.5,-0.32,-1.4,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
1778036278173908773,1408,1778036278173135226,F2008915,0.0,0.0,269896145,24.789451689,120.995956532,100.727,256.5,-0.32,-1.39,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
