%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Vinp,field.Pressure,field.Barometric_Height
1778036277808288384,1285,1778036277807793999,F2008915,-42010.0,-42010.0,-42010.0,0.020384,-0.0127,0.997469,-0.13556,0.54421,-0.01636,28.100000381469727,12.100000381469727,101.43000030517578,100412.0
1778036277808345110,1286,1778036277807888228,F2008915,-42190.0,-42190.0,-42190.0,0.037318,-0.024897,0.988882,0.04555,0.23006,-0.05192,28.200000762939453,12.029999732971191,101.45999908447266,100412.0
1778036277808392135,1287,1778036277807993134,F2008915,-41830.0,-41830.0,-41830.0,0.031543,0.009924,1.006703,0.08564,-0.60276,0.01368,28.200000762939453,12.0600004196167,101.45999908447266,100412.0
1778036277846098723,1288,1778036277845559466,F2008915,-42020.0,-42020.0,-42020.0,0.020331,-0.00287,1.003197,-0.13015,0.45681,-0.00882,28.299999237060547,12.010000228881836,101.5199966430664,100412.0
1778036277846125991,1289,1778036277845649820,F2008915,-42120.0,-42120.0,-42120.0,0.035063,-0.028532,0.987816,-0.00664,0.57627,-0.03609,28.200000762939453,12.0600004196167,101.5199966430664,100412.0
1778036277846188318,1290,1778036277845707850,F2008915,-41940.0,-41940.0,-41940.0,0.03843,0.003308,1.002234,0.14416,-0.63508,0.01797,28.200000762939453,12.0,101.5199966430664,100412.0
1778036277846229882,1291,1778036277845764127,F2008915,-42120.0,-42120.0,-42120.0,0.018248,0.009268,1.010193,-0.01693,-0.01423,0.08836,28.299999237060547,12.079999923706055,101.5199966430664,100412.0
1778036277883757840,1292,1778036277883370267,F2008915,-41970.0,-41970.0,-41970.0,0.030736,-0.024082,0.990258,-0.022,0.57647,0.00369,28.299999237060547,12.140000343322754,101.55000305175781,100412.0
1778036277883891823,1293,1778036277883527605,F2008915,-42060.0,-42060.0,-42060.0,0.040579,-0.005162,0.996362,0.11289,-0.23562,-0.01245,28.200000762939453,12.09000015258789,101.55000305175781,100412.0
1778036277883902669,1295,1778036277883695818,F2008915,-41960.0,-41960.0,-41960.0,0.020661,-0.01673,0.992656,-0.12822,0.724,0.0056,28.200000762939453,12.050000190734863,101.55000305175781,100412.0
1778036277917183074,1296,1778036277916961036,F2008915,-42300.0,-42300.0,-42300.0,0.0344,-0.01537,0.988976,0.02327,0.14335,-0.01374,28.200000762939453,12.149999618530273,101.48999786376953,100412.0
1778036277917191619,1297,1778036277917025577,F2008915,-42090.0,-42090.0,-42090.0,0.018217,0.015287,1.006758,0.00279,-0.54737,0.07902,28.299999237060547,12.149999618530273,101.48999786376953,100412.0
1778036277917419871,1298,1778036277917059268,F2008915,-42080.0,-42080.0,-42080.0,0.016801,-0.0099,0.994414,-0.10709,0.59503,0.03484,28.200000762939453,12.069999694824219,101.5199966430664,100412.0
1778036277955028721,1299,1778036277954723299,F2008915,-42320.0,-42320.0,-42320.0,0.031847,-0.024228,0.983792,0.02416,0.4545,-0.01868,28.299999237060547,12.149999618530273,101.5199966430664,100412.0
1778036277955042653,1300,1778036277954808382,F2008915,-42020.0,-42020.0,-42020.0,0.025372,0.008269,1.000122,0.10297,-0.6364,-0.00146,28.299999237060547,12.09000015258789,101.43000030517578,100412.0
1778036277955382325,1301,1778036277954871666,F2008915,-42120.0,-42120.0,-42120.0,0.012914,0.001275,1.002846,-0.0616,0.30028,0.02241,28.200000762939453,12.050000190734863,101.43000030517578,100412.0
1778036277955491574,1302,1778036277954926548,F2008915,-42090.0,-42090.0,-42090.0,0.027335,-0.023179,0.989595,-0.02805,0.45636,-0.0529,28.200000762939453,12.020000457763672,101.45999908447266,100412.0
1778036277992940139,1303,1778036277992500578,F2008915,-41950.0,-41950.0,-41950.0,0.030783,0.004051,1.000988,0.14701,-0.49157,0.00213,28.200000762939453,12.140000343322754,101.45999908447266,100412.0
1778036277992958729,1304,1778036277992597911,F2008915,-42090.0,-42090.0,-42090.0,0.01198,0.013057,1.013522,-0.04842,-0.07236,0.05339,28.200000762939453,12.069999694824219,101.43000030517578,100412.0
1778036277993459643,1305,1778036277992651616,F2008915,-41970.0,-41970.0,-41970.0,0.022265,-0.019236,0.995007,-0.08869,0.73485,-0.05549,28.299999237060547,12.119999885559082,101.43000030517578,100412.0
1778036277993492911,1306,1778036277992740545,F2008915,-42130.0,-42130.0,-42130.0,0.033647,-0.008042,0.997967,0.08448,-0.07256,-0.01545,28.200000762939453,12.0600004196167,101.37000274658203,100414.0
1778036278026468965,1307,1778036278026107819,F2008915,-42040.0,-42040.0,-42040.0,0.013951,0.014614,1.014533,-0.04651,-0.3698,0.06897,28.200000762939453,12.09000015258789,101.37000274658203,100414.0
1778036278026503254,1308,1778036278026179725,F2008915,-41840.0,-41840.0,-41840.0,0.017787,-0.015315,0.997104,-0.12585,0.64708,0.02309,28.200000762939453,12.100000381469727,101.37000274658203,100414.0
1778036278026785746,1309,1778036278026243550,F2008915,-42080.0,-42080.0,-42080.0,0.031018,-0.018206,0.991488,0.0454,0.14396,-0.02823,28.200000762939453,12.0600004196167,101.37000274658203,100414.0
1778036278064378672,1310,1778036278064006989,F2008915,-41810.0,-41810.0,-41810.0,0.017054,0.013569,1.009078,-0.02136,-0.49946,0.06365,28.299999237060547,12.0600004196167,101.4000015258789,100414.0
1778036278064645650,1311,1778036278064139107,F2008915,-41870.0,-41870.0,-41870.0,0.014271,-0.00586,1.001686,-0.1153,0.49782,0.03365,28.200000762939453,12.039999961853027,101.4000015258789,100414.0
1778036278064862314,1312,1778036278064227521,F2008915,-42040.0,-42040.0,-42040.0,0.030798,-0.022691,0.989197,-0.02172,0.33175,-0.04842,28.200000762939453,12.039999961853027,101.45999908447266,100412.0
1778036278064922824,1313,1778036278064309662,F2008915,-41780.0,-41780.0,-41780.0,0.027803,0.008255,1.004619,0.02206,-0.66746,-0.00143,28.200000762939453,12.100000381469727,101.45999908447266,100412.0
1778036278097960298,1314,1778036278097607278,F2008915,-41970.0,-41970.0,-41970.0,0.012918,0.003148,1.005797,-0.14684,0.25428,0.01915,28.299999237060547,12.079999923706055,101.45999908447266,100412.0
1778036278097981911,1315,1778036278097699934,F2008915,-41880.0,-41880.0,-41880.0,0.028596,-0.023567,0.988068,-0.09415,0.60515,-0.09577,28.299999237060547,12.100000381469727,101.45999908447266,100412.0
1778036278098190271,1316,1778036278097755134,F2008915,-41920.0,-41920.0,-41920.0,0.033139,-0.002439,0.996532,0.07201,-0.31702,-0.00769,28.200000762939453,12.050000190734863,101.43000030517578,100412.0
1778036278135931936,1317,1778036278135315476,F2008915,-42050.0,-42050.0,-42050.0,0.01329,0.009093,1.007416,-0.01661,-0.1822,0.05382,28.200000762939453,12.100000381469727,101.43000030517578,100412.0
1778036278135948373,1318,1778036278135378449,F2008915,-41850.0,-41850.0,-41850.0,0.02834,-0.023433,0.989455,-0.06583,0.52649,-0.06103,28.200000762939453,12.119999885559082,101.43000030517578,100412.0
1778036278135966786,1319,1778036278135429709,F2008915,-42080.0,-42080.0,-42080.0,0.037079,-0.014749,0.989992,0.11125,-0.11514,-0.01123,28.299999237060547,12.100000381469727,101.43000030517578,100412.0
1778036278135972351,1320,1778036278135586659,F2008915,-42020.0,-42020.0,-42020.0,0.020599,0.010816,1.007772,0.0507,-0.39105,0.0347,28.200000762939453,12.020000457763672,101.48999786376953,100412.0
1778036278173781658,1321,1778036278173135226,F2008915,-41870.0,-41870.0,-41870.0,0.026453,-0.012698,0.995865,-0.07021,0.6165,0.0093,28.100000381469727,12.029999732971191,101.48999786376953,100412.0
1778036278173826620,1324,1778036278173428162,F2008915,-42090.0,-42090.0,-42090.0,0.014477,0.000957,1.003992,-0.05913,0.38721,0.01864,28.200000762939453,12.020000457763672,101.43000030517578,100412.0
1778036278206846577,1325,1778036278206701190,F2008915,-42270.0,-42270.0,-42270.0,0.031802,-0.024902,0.985569,-0.05047,0.43737,-0.02477,28.200000762939453,12.0,101.43000030517578,100412.0
1778036278206850526,1326,1778036278206733266,F2008915,-42070.0,-42070.0,-42070.0,0.033503,0.001275,0.996391,0.04698,-0.47752,0.03028,28.200000762939453,12.100000381469727,101.43000030517578,100412.0
1778036278206852005,1327,1778036278206759494,F2008915,-42180.0,-42180.0,-42180.0,0.01782,0.002554,0.99981,-0.01788,0.22668,0.07735,28.200000762939453,12.100000381469727,101.43000030517578,100412.0
1778036278244845329,1328,1778036278244508278,F2008915,-42010.0,-42010.0,-42010.0,0.028882,-0.025895,0.983587,-0.00793,0.57399,-0.04332,28.200000762939453,12.0,101.43000030517578,100412.0
1778036278244877845,1329,1778036278244586070,F2008915,-41980.0,-41980.0,-41980.0,0.032284,-0.004352,0.992736,0.13383,-0.525,-0.03793,28.200000762939453,12.100000381469727,101.43000030517578,100412.0
1778036278244890187,1330,1778036278244642349,F2008915,-42060.0,-42060.0,-42060.0,0.014414,0.012983,1.007019,0.04956,-0.45805,0.00218,28.200000762939453,12.140000343322754,101.45999908447266,100412.0
1778036278245343878,1331,1778036278244705393,F2008915,-41830.0,-41830.0,-41830.0,0.026812,-0.018101,0.991379,-0.02231,0.53299,-0.05658,28.200000762939453,12.079999923706055,101.45999908447266,100412.0
1778036278282587126,1332,1778036278282366766,F2008915,-42070.0,-42070.0,-42070.0,0.042332,-0.012322,0.99245,0.17785,0.13555,-0.04172,28.299999237060547,12.079999923706055,101.48999786376953,100412.0
1778036278282596503,1333,1778036278282420596,F2008915,-41920.0,-41920.0,-41920.0,0.023967,0.019622,1.014002,0.07328,-0.27509,0.03422,28.200000762939453,12.079999923706055,101.48999786376953,100412.0
