%time,field.header.seq,field.header.stamp,field.header.frame_id,field.GPS_INS_Time,field.GPS_IMU_Time,field.GPS_mSOW.data,field.LLH.x,field.LLH.y,field.LLH.z,field.YPR.x,field.YPR.y,field.YPR.z,field.OriQuat.x,field.OriQuat.y,field.OriQuat.z,field.OriQuat.w,field.Vel_ENU.x,field.Vel_ENU.y,field.Vel_ENU.z,field.Solution_Status.data,field.Pos_STD.x,field.Pos_STD.y,field.Pos_STD.z,field.Heading_STD,field.USW
1775732950317299879,1401,1775732950317171530,F2008915,0.0,0.0,385768240,24.78827982,120.995462462,112.714,267.97,-0.56,-0.11,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950317311022,1402,1775732950317203342,F2008915,0.0,0.0,385768260,24.788279825,120.995462479,112.712,267.97,-0.56,-0.11,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950317360296,1403,1775732950317223555,F2008915,0.0,0.0,385768280,24.788279826,120.995462483,112.712,267.97,-0.56,-0.11,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950317363142,1404,1775732950317258119,F2008915,0.0,0.0,385768300,24.78827983,120.995462501,112.71,267.96,-0.57,-0.11,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950392702028,1405,1775732950392636408,F2008915,0.0,0.0,385768320,24.78827983,120.995462501,112.71,267.96,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950392877724,1406,1775732950392781404,F2008915,0.0,0.0,385768340,24.78827983,120.995462494,112.71,267.97,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950392881378,1407,1775732950392809191,F2008915,0.0,0.0,385768360,24.788279834,120.995462507,112.708,267.97,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950392888503,1408,1775732950392830123,F2008915,0.0,0.0,385768380,24.788279834,120.995462502,112.708,267.97,-0.57,-0.11,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950460135611,1409,1775732950459989006,F2008915,0.0,0.0,385768400,24.788279839,120.995462519,112.707,267.97,-0.57,-0.11,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950460143342,1410,1775732950460025979,F2008915,0.0,0.0,385768420,24.78827984,120.995462522,112.707,267.97,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950460168948,1411,1775732950460046365,F2008915,0.0,0.0,385768440,24.78827984,120.995462526,112.707,267.97,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1775732950535634058,1412,1775732950535518071,F2008915,0.0,0.0,385768460,24.788279845,120.995462542,112.705,267.97,-0.57,-0.12,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0,0.0,0.0,0.0,0.0,0
