x,y
0.7,-19.72
0.7,-19.72
0.7,-19.72
0.701062,-19.7183
0.703189,-19.7149
0.706379,-19.7098
0.710632,-19.7031
0.715947,-19.6946
0.722323,-19.6844
0.729758,-19.6726
0.738249,-19.659
0.747792,-19.6438
0.758383,-19.6268
0.770016,-19.6081
0.782684,-19.5878
0.796379,-19.5657
0.811091,-19.5418
0.82681,-19.5163
0.843521,-19.489
0.861211,-19.46
0.879862,-19.4292
0.899456,-19.3966
0.919971,-19.3623
0.941384,-19.3262
0.963669,-19.2882
0.986797,-19.2485
1.01074,-19.2069
1.03545,-19.1634
1.06091,-19.1181
1.08706,-19.0708
1.11387,-19.0217
1.14128,-18.9706
1.16925,-18.9175
1.19771,-18.8624
1.22661,-18.8053
1.25587,-18.7461
1.28544,-18.6849
1.31524,-18.6216
1.34518,-18.5561
1.37518,-18.4885
1.40516,-18.4186
1.43501,-18.3466
1.46464,-18.2723
1.49394,-18.1957
1.5228,-18.1168
1.55108,-18.0356
1.57867,-17.952
1.60542,-17.8661
1.63119,-17.7778
1.65583,-17.6871
1.67919,-17.5939
1.70109,-17.4984
1.72135,-17.4005
1.7398,-17.3002
1.75625,-17.1975
1.77048,-17.0925
1.78231,-16.9851
1.7915,-16.8755
1.79783,-16.7637
1.80108,-16.6497
1.801,-16.5337
1.79736,-16.4158
1.78989,-16.296
1.77835,-16.1746
1.76247,-16.0516
1.74199,-15.9273
1.71665,-15.8018
1.68618,-15.6754
1.65034,-15.5484
1.60895,-15.421
1.56187,-15.2934
1.50893,-15.1659
1.45,-15.0389
1.38496,-14.9127
1.3137,-14.7876
1.23613,-14.6639
1.15217,-14.542
1.06177,-14.4223
0.964888,-14.3052
0.861515,-14.1911
0.75166,-14.0803
0.635358,-13.9734
0.512671,-13.8707
0.383689,-13.7727
0.248529,-13.6798
0.107342,-13.5925
-0.0396939,-13.5112
-0.192364,-13.4364
-0.350422,-13.3686
-0.513585,-13.3082
-0.681537,-13.2556
-0.853924,-13.2112
-1.03036,-13.1756
-1.21041,-13.149
-1.39361,-13.132
-1.57947,-13.1248
-1.76744,-13.1278
-1.95696,-13.1413
-2.1474,-13.1656
-2.33814,-13.2011
-2.52849,-13.2478
-2.71775,-13.3059
-2.90519,-13.3757
-3.08987,-13.4571
-3.26929,-13.5491
-3.44166,-13.6505
-3.60624,-13.7606
-3.76268,-13.8787
-3.91068,-14.0042
-4.05,-14.1363
-4.18042,-14.2745
-4.3018,-14.4181
-4.41404,-14.5664
-4.51705,-14.7189
-4.61081,-14.8749
-4.69534,-15.0338
-4.77068,-15.1951
-4.83691,-15.3582
-4.89414,-15.5225
-4.94252,-15.6876
-4.98221,-15.8529
-5.0134,-16.018
-5.0363,-16.1824
