u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2,0.0001,0.0201,-0.0071,-0.0183,43.4976,-9.7743,0,-0.0834,-0.0834,-0.0502,0,0,-0.011,-0.0044,-0.0001
0.2,0.0001,0.0401,-0.0002,-0.0183,43.499,-9.7756,0,-0.0842,-0.0842,-0.0494,0,0,-0.011,-0.0044,-0.0001
0.2,0.0001,0.0601,0.0062,-0.0183,43.4981,-9.779,0,-0.0877,-0.0877,-0.0501,0,0,-0.011,-0.0044,-0.0001
0.2,0.0001,0.0801,0.0125,-0.0183,43.4987,-9.7755,0,-0.0841,-0.0841,-0.0493,0,0,-0.011,-0.0044,-0.0001
0.2,0.0001,0.1001,0.0188,-0.0183,43.4991,-9.7697,0,-0.0786,-0.0786,-0.0498,0,0,-0.011,-0.0044,-0.0047
0.2,0.0001,0.1201,0.0255,-0.0183,43.5,-9.7718,0,-0.0803,-0.0803,-0.0501,0,0,-0.011,-0.0044,-0.0018
0.2,0.0553,0.1401,0.0327,-0.0183,43.4974,-9.7769,0,-0.0872,-0.0872,-0.0493,0,0,-0.011,-0.0044,0.0041
0.2,0.0001,0.1601,0.0398,-0.0183,43.496,-9.7752,0,-0.0848,-0.0848,-0.0496,0,0,-0.011,-0.0044,0.01
0.2,0.0523,0.1801,0.0464,-0.0183,43.4969,-9.7763,0,-0.0868,-0.0868,-0.049,0,0,-0.011,-0.0044,0.0142
0.2,0.0001,0.2001,0.0535,-0.0183,43.4999,-9.7776,0,-0.0857,-0.0857,-0.0489,0,0,-0.011,-0.0044,0.0186
0.2,0.0001,0.2201,0.0606,-0.0183,43.5011,-9.7765,0,-0.0843,-0.0843,-0.0491,0,0,-0.011,-0.0044,0.0269
0.2,0.0001,0.2401,0.0677,-0.0183,43.4998,-9.778,0,-0.0861,-0.0861,-0.0491,0,0,-0.011,-0.0044,0.0337
0.2,0.0001,0.2601,0.0748,-0.0183,43.4966,-9.7729,0,-0.0824,-0.0824,-0.0486,0,0,-0.011,-0.0044,0.0403
0.2,0.0001,0.2801,0.0819,-0.0183,43.4996,-9.7764,0,-0.0848,-0.0848,-0.0483,0,0,-0.011,-0.0044,0.0467
0.2,0.0614,0.3001,0.089,-0.0183,43.5057,-9.7797,0,-0.0871,-0.0871,-0.047,0,0,-0.011,-0.0044,0.0533
0.2,0.0001,0.3201,0.0961,-0.0183,43.5101,-9.7844,0,-0.0885,-0.0885,-0.048,0,0,-0.011,-0.0044,0.0613
0.2,0.0682,0.3401,0.1032,-0.0183,43.5221,-9.7885,0,-0.0898,-0.0898,-0.0459,0,0,-0.011,-0.0044,0.0697
0.2,0.064,0.3601,0.1104,-0.0183,43.5329,-9.7948,0,-0.0919,-0.0919,-0.0454,0,0,-0.011,-0.0044,0.0783
0.2,0.1264,0.3801,0.1175,-0.0183,43.5484,-9.796,0,-0.089,-0.089,-0.0426,0,0,-0.011,-0.0044,0.0851
0.2,0.123,0.4001,0.1246,-0.0183,43.5685,-9.8002,0,-0.0858,-0.0858,-0.0412,0,0,-0.011,-0.0044,0.0912
0.1999,0.1562,0.4201,0.1317,-0.0183,43.5891,-9.8084,0,-0.0869,-0.0869,-0.0381,0,0,-0.011,-0.0044,0.0979
0.1999,0.2047,0.4401,0.1389,-0.0183,43.6142,-9.815,0,-0.0851,-0.0851,-0.0345,0,0,-0.011,-0.0044,0.1045
0.2,0.2208,0.4601,0.146,-0.0183,43.6439,-9.8188,0,-0.0781,-0.0781,-0.0284,0,0,-0.011,-0.0044,0.111
0.2,0.2582,0.4801,0.1451,-0.0183,43.6743,-9.8236,0,-0.0727,-0.0727,-0.0267,0,0,-0.011,-0.0044,0.1173
0.1999,0.3042,0.5001,0.1381,-0.0183,43.7153,-9.8374,0,-0.071,-0.071,-0.0178,0,0,-0.011,-0.0044,0.1235
0.1999,0.3055,0.5201,0.131,-0.0183,43.7546,-9.8485,0,-0.0677,-0.0677,-0.0173,0,0,-0.011,-0.0044,0.1296
0.2,0.4327,0.5401,0.1238,-0.0183,43.8102,-9.8625,0,-0.061,-0.061,-0.005,0,0,-0.011,-0.0044,0.1359
0.1999,0.404,0.5601,0.1167,-0.0183,43.8534,-9.8752,0,-0.058,-0.058,-0.0057,0,0,-0.011,-0.0044,0.1379
0.2,0.5742,0.5801,0.1095,-0.0417,43.8952,-9.8939,0,-0.0586,-0.0586,0.0388,0,0,-0.0251,-0.01,0.1336
0.1999,0.446,0.6001,0.1024,-0.0417,43.9404,-9.9067,0,-0.055,-0.055,0.0362,0,0,-0.0251,-0.01,0.1276
0.1999,0.4536,0.6201,0.0953,-0.0417,43.9846,-9.9253,0,-0.0548,-0.0548,0.0387,0,0,-0.0251,-0.01,0.1216
