u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0000,0.0200,-0.0084,-0.0173,33.6388,-6.9840,0.0000,0.1007,0.1007,-0.0424,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.0400,0.0000,-0.0173,33.6373,-6.9846,0.0000,0.0998,0.0998,-0.0419,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.0600,0.0084,-0.0173,33.6419,-6.9832,0.0000,0.1023,0.1023,-0.0421,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1999,0.0001,0.0800,0.0167,-0.0173,33.6375,-6.9824,0.0000,0.1019,0.1019,-0.0412,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1998,0.0001,0.1000,0.0251,-0.0173,33.6378,-6.9875,0.0000,0.0971,0.0971,-0.0425,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1998,0.0001,0.1200,0.0273,-0.0173,33.6329,-6.9827,0.0000,0.1005,0.1005,-0.0427,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1999,0.0561,0.1400,0.0223,-0.0173,33.6268,-6.9830,0.0000,0.0975,0.0975,-0.0409,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1999,0.0668,0.1600,0.0154,-0.0173,33.6350,-6.9859,0.0000,0.0965,0.0965,-0.0412,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1998,0.0589,0.1800,0.0116,-0.0173,33.6326,-6.9928,0.0000,0.0894,0.0894,-0.0418,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1998,0.0868,0.2000,0.0033,-0.0173,33.6339,-6.9889,0.0000,0.0930,0.0930,-0.0406,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0752,0.2200,-0.0051,-0.0173,33.6367,-6.9845,0.0000,0.0982,0.0982,-0.0409,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.2400,-0.0093,-0.0173,33.6356,-6.9841,0.0000,0.0998,0.0998,-0.0415,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0501,0.2600,-0.0138,-0.0173,33.6306,-6.9855,0.0000,0.0961,0.0961,-0.0421,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.2800,-0.0165,-0.0173,33.6362,-6.9904,0.0000,0.0939,0.0939,-0.0417,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0530,0.3000,-0.0206,-0.0173,33.6382,-6.9869,0.0000,0.0967,0.0967,-0.0411,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0728,0.3200,-0.0250,-0.0173,33.6368,-6.9845,0.0000,0.0982,0.0982,-0.0411,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.3400,-0.0276,-0.0173,33.6405,-6.9832,0.0000,0.1019,0.1019,-0.0419,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.3600,-0.0295,-0.0173,33.6439,-6.9851,0.0000,0.1010,0.1010,-0.0428,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.3800,-0.0320,-0.0173,33.6452,-6.9795,0.0000,0.1067,0.1067,-0.0420,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.4000,-0.0339,-0.0173,33.6492,-6.9812,0.0000,0.1060,0.1060,-0.0422,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0610,0.4200,-0.0350,-0.0173,33.6555,-6.9867,0.0000,0.1010,0.1010,-0.0430,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0001,0.4400,-0.0356,-0.0173,33.6684,-6.9894,0.0000,0.1028,0.1028,-0.0426,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.0845,0.4600,-0.0362,-0.0173,33.6768,-6.9916,0.0000,0.1011,0.1011,-0.0424,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.1313,0.4800,-0.0361,-0.0173,33.6887,-6.9980,0.0000,0.0968,0.0968,-0.0425,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.1999,0.0856,0.5000,-0.0359,-0.0173,33.7010,-7.0020,0.0000,0.0969,0.0969,-0.0434,0.0000,0.0000,-0.0104,-0.0042,0.0000
0.2000,0.1339,0.5200,-0.0275,-0.0034,33.7187,-7.0052,0.0000,0.0973,0.0973,-0.0346,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.2000,0.1286,0.5400,-0.0284,-0.0034,33.7324,-7.0082,0.0000,0.0980,0.0980,-0.0349,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.2000,0.1780,0.5600,-0.0304,-0.0034,33.7500,-7.0080,0.0000,0.1019,0.1019,-0.0347,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.2000,0.1396,0.5800,-0.0304,-0.0034,33.7656,-7.0124,0.0000,0.1023,0.1023,-0.0357,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.1743,0.6000,-0.0324,-0.0034,33.7832,-7.0167,0.0000,0.1020,0.1020,-0.0370,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.1613,0.6200,-0.0340,-0.0034,33.8058,-7.0214,0.0000,0.1035,0.1035,-0.0361,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.1788,0.6400,-0.0334,-0.0034,33.8238,-7.0271,0.0000,0.1023,0.1023,-0.0372,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.2299,0.6600,-0.0322,-0.0034,33.8436,-7.0329,0.0000,0.1007,0.1007,-0.0381,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.1873,0.6800,-0.0321,-0.0034,33.8713,-7.0333,0.0000,0.1082,0.1082,-0.0388,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.2043,0.7000,-0.0304,-0.0034,33.8972,-7.0412,0.0000,0.1068,0.1068,-0.0398,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.2731,0.7200,-0.0275,-0.0034,33.9275,-7.0511,0.0000,0.1035,0.1035,-0.0414,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.2686,0.7400,-0.0280,-0.0034,33.9718,-7.0632,0.0000,0.1039,0.1039,-0.0380,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.3167,0.7600,-0.0264,-0.0034,34.0050,-7.0687,0.0000,0.1056,0.1056,-0.0413,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.4563,0.7800,-0.0272,-0.0034,34.0447,-7.0760,0.0000,0.1057,0.1057,-0.0424,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.3319,0.8000,-0.0235,-0.0034,34.0804,-7.0841,0.0000,0.1093,0.1093,-0.0444,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.3989,0.8200,-0.0222,-0.0034,34.1226,-7.0920,0.0000,0.1111,0.1111,-0.0450,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.3627,0.8400,-0.0188,-0.0034,34.1606,-7.1043,0.0000,0.1096,0.1096,-0.0457,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.1999,0.4254,0.8600,-0.0168,-0.0034,34.2061,-7.1156,0.0000,0.1090,0.1090,-0.0460,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.2000,0.3965,0.8800,-0.0146,-0.0034,34.2594,-7.1332,0.0000,0.1072,0.1072,-0.0423,0.0000,0.0000,-0.0021,-0.0008,0.0000
0.2000,0.4639,0.9000,-0.0062,0.0014,34.2986,-7.1432,0.0000,0.1027,0.1027,-0.0822,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.5573,0.9200,0.0022,0.0014,34.3560,-7.1548,0.0000,0.1013,0.1013,-0.0792,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.4006,0.9400,0.0106,0.0014,34.4000,-7.1656,0.0000,0.1061,0.1061,-0.0827,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.5824,0.9600,0.0190,0.0014,34.4567,-7.1895,0.0000,0.0886,0.0886,-0.0801,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.4480,0.9800,0.0274,0.0014,34.5117,-7.1997,0.0000,0.0956,0.0956,-0.0831,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.6092,1.0000,0.0358,0.0014,34.5664,-7.2086,0.0000,0.0921,0.0921,-0.0842,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.5526,1.0200,0.0442,0.0014,34.6294,-7.2214,0.0000,0.0976,0.0976,-0.0789,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.5485,1.0400,0.0525,0.0014,34.6902,-7.2326,0.0000,0.0998,0.0998,-0.0813,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.6406,1.0600,0.0565,0.0014,34.7486,-7.2465,0.0000,0.0971,0.0971,-0.0762,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.6121,1.0800,0.0612,0.0014,34.8103,-7.2662,0.0000,0.0922,0.0922,-0.0781,0.0000,0.0000,0.0008,0.0003,0.0000
0.2000,0.5976,1.1000,0.0528,-0.0194,34.8914,-7.2852,0.0000,0.0965,0.0965,-0.0226,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.1999,0.6420,1.1200,0.0444,-0.0194,34.9706,-7.3005,0.0000,0.1038,0.1038,-0.0192,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.1999,0.8288,1.1400,0.0360,-0.0194,35.0532,-7.3167,0.0000,0.1096,0.1096,-0.0171,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.1999,0.8016,1.1600,0.0276,-0.0194,35.1280,-7.3319,0.0000,0.1168,0.1168,-0.0139,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.1999,0.7591,1.1800,0.0192,-0.0194,35.2075,-7.3504,0.0000,0.1215,0.1215,-0.0117,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.1999,0.7591,1.2000,0.0108,-0.0194,35.2969,-7.3698,0.0000,0.1278,0.1278,-0.0097,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.2000,0.8100,1.2200,0.0025,-0.0194,35.3739,-7.3829,0.0000,0.1341,0.1341,-0.0138,0.0000,0.0000,-0.0117,-0.0047,0.0000
0.2000,0.9075,1.2400,0.0109,0.0007,35.4625,-7.3993,0.0000,0.1420,0.1420,-0.0358,0.0000,0.0000,0.0004,0.0002,0.0000
0.2000,0.7726,1.2600,0.0025,0.0007,35.5444,-7.4214,0.0000,0.1421,0.1421,-0.0380,0.0000,0.0000,0.0004,0.0002,0.0000
0.2000,0.8965,1.2800,-0.0059,0.0007,35.6321,-7.4485,0.0000,0.1362,0.1362,-0.0350,0.0000,0.0000,0.0004,0.0002,0.0000
0.2000,0.8410,1.3000,-0.0143,0.0007,35.7269,-7.4665,0.0000,0.1435,0.1435,-0.0330,0.0000,0.0000,0.0004,0.0002,0.0000
0.2000,0.9098,1.3200,-0.0227,0.0007,35.8185,-7.4789,0.0000,0.1531,0.1531,-0.0322,0.0000,0.0000,0.0004,0.0002,0.0000
0.1999,0.9577,1.3400,-0.0271,0.0007,35.9023,-7.4995,0.0000,0.1505,0.1505,-0.0368,0.0000,0.0000,0.0004,0.0002,0.0000
0.1999,0.9176,1.3600,-0.0293,0.0007,36.0009,-7.5245,0.0000,0.1517,0.1517,-0.0353,0.0000,0.0000,0.0004,0.0002,0.0000
0.1999,0.8541,1.3800,-0.0377,-0.0160,36.0904,-7.5505,0.0000,0.1476,0.1476,-0.0451,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.1999,1.0096,1.4000,-0.0310,-0.0160,36.1920,-7.5811,0.0000,0.1390,0.1390,-0.0441,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.1999,0.9240,1.4200,-0.0282,-0.0160,36.2936,-7.6036,0.0000,0.1433,0.1433,-0.0439,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.2000,1.0516,1.4400,-0.0211,-0.0160,36.3891,-7.6294,0.0000,0.1349,0.1349,-0.0503,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.2000,1.0321,1.4600,-0.0150,-0.0160,36.4923,-7.6542,0.0000,0.1343,0.1343,-0.0534,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.2000,0.9809,1.4800,-0.0073,-0.0160,36.5936,-7.6818,0.0000,0.1315,0.1315,-0.0560,0.0000,0.0000,-0.0096,-0.0038,0.0000
0.2000,1.0515,1.5000,-0.0157,-0.0250,36.6976,-7.7061,0.0000,0.1300,0.1300,-0.0484,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.0401,1.5200,-0.0163,-0.0250,36.8051,-7.7298,0.0000,0.1333,0.1333,-0.0497,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.0585,1.5400,-0.0163,-0.0250,36.9162,-7.7565,0.0000,0.1342,0.1342,-0.0500,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.0910,1.5600,-0.0200,-0.0250,37.0334,-7.7776,0.0000,0.1435,0.1435,-0.0472,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.1324,1.5800,-0.0197,-0.0250,37.1411,-7.7994,0.0000,0.1461,0.1461,-0.0506,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.1826,1.6000,-0.0194,-0.0250,37.2537,-7.8207,0.0000,0.1509,0.1509,-0.0526,0.0000,0.0000,-0.0151,-0.0060,0.0000
0.2000,1.0880,1.6200,-0.0278,-0.0261,37.3648,-7.8358,0.0000,0.1680,0.1680,-0.0327,0.0000,0.0000,-0.0157,-0.0063,0.0000
0.2000,1.1351,1.6400,-0.0362,-0.0261,37.4765,-7.8622,0.0000,0.1691,0.1691,-0.0365,0.0000,0.0000,-0.0157,-0.0063,0.0000
