u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0043,-0.0046,32.7232,-6.7229,0.0000,0.1378,0.1378,-0.0778,0.0000,0.0000,-0.0028,-0.0011,-0.0000
0.2000,0.0001,0.0401,0.0126,-0.0046,32.7273,-6.7234,0.0000,0.1381,0.1381,-0.0777,0.0000,0.0000,-0.0028,-0.0011,-0.0000
0.2000,0.0001,0.0601,0.0207,-0.0046,32.7270,-6.7223,0.0000,0.1392,0.1392,-0.0775,0.0000,0.0000,-0.0028,-0.0011,-0.0000
0.2000,0.0001,0.0801,0.0281,-0.0046,32.7267,-6.7204,0.0000,0.1410,0.1410,-0.0783,0.0000,0.0000,-0.0028,-0.0011,-0.0000
0.2000,0.0001,0.1001,0.0358,-0.0046,32.7261,-6.7236,0.0000,0.1377,0.1377,-0.0781,0.0000,0.0000,-0.0028,-0.0011,0.0065
0.2000,0.0001,0.1201,0.0432,-0.0046,32.7288,-6.7197,0.0000,0.1421,0.1421,-0.0785,0.0000,0.0000,-0.0028,-0.0011,0.0167
0.2000,0.0001,0.1401,0.0516,-0.0046,32.7277,-6.7232,0.0000,0.1384,0.1384,-0.0779,0.0000,0.0000,-0.0028,-0.0011,0.0197
0.1999,0.0001,0.1601,0.0595,-0.0046,32.7301,-6.7256,0.0000,0.1366,0.1366,-0.0774,0.0000,0.0000,-0.0028,-0.0011,0.0323
0.1999,0.0001,0.1801,0.0605,-0.0046,32.7303,-6.7227,0.0000,0.1395,0.1395,-0.0776,0.0000,0.0000,-0.0028,-0.0011,0.0384
0.2000,0.0001,0.2001,0.0596,-0.0046,32.7295,-6.7218,0.0000,0.1402,0.1402,-0.0774,0.0000,0.0000,-0.0028,-0.0011,0.0482
0.2000,0.0001,0.2201,0.0567,-0.0046,32.7296,-6.7206,0.0000,0.1414,0.1414,-0.0764,0.0000,0.0000,-0.0028,-0.0011,0.0580
0.2000,0.0001,0.2401,0.0533,-0.0046,32.7192,-6.7200,0.0000,0.1397,0.1397,-0.0766,0.0000,0.0000,-0.0028,-0.0011,0.0674
0.2000,0.0001,0.2601,0.0500,-0.0046,32.7099,-6.7205,0.0000,0.1372,0.1372,-0.0769,0.0000,0.0000,-0.0028,-0.0011,0.0679
0.2000,0.1039,0.2801,0.0427,-0.0046,32.6966,-6.7150,0.0000,0.1357,0.1357,-0.0754,0.0000,0.0000,-0.0028,-0.0011,0.0674
0.2000,0.0925,0.3001,0.0375,-0.0046,32.6937,-6.7173,0.0000,0.1333,0.1333,-0.0753,0.0000,0.0000,-0.0028,-0.0011,0.0637
0.2000,0.1428,0.3201,0.0307,-0.0046,32.6863,-6.7145,0.0000,0.1325,0.1325,-0.0751,0.0000,0.0000,-0.0028,-0.0011,0.0567
0.2000,0.0001,0.3401,0.0281,-0.0046,32.6831,-6.7139,0.0000,0.1378,0.1378,-0.0762,0.0000,0.0000,-0.0028,-0.0011,0.0521
0.2000,0.0790,0.3601,0.0248,-0.0046,32.6822,-6.7141,0.0000,0.1345,0.1345,-0.0753,0.0000,0.0000,-0.0028,-0.0011,0.0455
0.2000,0.0001,0.3801,0.0225,-0.0046,32.6897,-6.7134,0.0000,0.1398,0.1398,-0.0762,0.0000,0.0000,-0.0028,-0.0011,0.0398
0.2000,0.0001,0.4001,0.0191,-0.0046,32.7077,-6.7172,0.0000,0.1400,0.1400,-0.0717,0.0000,0.0000,-0.0028,-0.0011,0.0337
0.2000,0.0753,0.4201,0.0166,-0.0046,32.7220,-6.7219,0.0000,0.1357,0.1357,-0.0744,0.0000,0.0000,-0.0028,-0.0011,0.0306
0.2000,0.1858,0.4401,0.0113,-0.0046,32.7416,-6.7260,0.0000,0.1322,0.1322,-0.0700,0.0000,0.0000,-0.0028,-0.0011,0.0279
0.2000,0.1504,0.4601,0.0092,-0.0046,32.7490,-6.7264,0.0000,0.1344,0.1344,-0.0733,0.0000,0.0000,-0.0028,-0.0011,0.0253
0.2000,0.2010,0.4801,0.0077,-0.0046,32.7678,-6.7311,0.0000,0.1321,0.1321,-0.0734,0.0000,0.0000,-0.0028,-0.0011,0.0224
0.2000,0.0713,0.5001,0.0081,-0.0046,32.7852,-6.7356,0.0000,0.1361,0.1361,-0.0750,0.0000,0.0000,-0.0028,-0.0011,0.0200
0.2000,0.1913,0.5201,0.0070,-0.0046,32.7932,-6.7328,0.0000,0.1362,0.1362,-0.0741,0.0000,0.0000,-0.0028,-0.0011,0.0155
0.2000,0.1787,0.5401,0.0072,-0.0046,32.8100,-6.7378,0.0000,0.1354,0.1354,-0.0747,0.0000,0.0000,-0.0028,-0.0011,0.0137
0.2000,0.0859,0.5601,0.0085,-0.0046,32.8252,-6.7444,0.0000,0.1358,0.1358,-0.0752,0.0000,0.0000,-0.0028,-0.0011,0.0124
0.2000,0.1736,0.5801,0.0085,-0.0046,32.8448,-6.7457,0.0000,0.1356,0.1356,-0.0737,0.0000,0.0000,-0.0028,-0.0011,0.0128
0.2000,0.1642,0.6001,0.0090,-0.0046,32.8622,-6.7498,0.0000,0.1357,0.1357,-0.0740,0.0000,0.0000,-0.0028,-0.0011,0.0122
0.2000,0.1959,0.6201,0.0092,-0.0046,32.8799,-6.7531,0.0000,0.1352,0.1352,-0.0733,0.0000,0.0000,-0.0028,-0.0011,0.0125
0.2000,0.1771,0.6401,0.0097,-0.0046,32.9010,-6.7602,0.0000,0.1336,0.1336,-0.0723,0.0000,0.0000,-0.0028,-0.0011,0.0133
0.2000,0.1785,0.6601,0.0093,-0.0046,32.9223,-6.7606,0.0000,0.1379,0.1379,-0.0721,0.0000,0.0000,-0.0028,-0.0011,0.0133
0.2000,0.2209,0.6801,0.0075,-0.0046,32.9563,-6.7740,0.0000,0.1312,0.1312,-0.0664,0.0000,0.0000,-0.0028,-0.0011,0.0137
0.2000,0.2121,0.7001,0.0075,-0.0046,32.9881,-6.7786,0.0000,0.1338,0.1338,-0.0691,0.0000,0.0000,-0.0028,-0.0011,0.0139
0.2000,0.3606,0.7201,-0.0009,-0.0173,33.0159,-6.7827,0.0000,0.1334,0.1334,-0.0363,0.0000,0.0000,-0.0104,-0.0042,0.0144
0.2000,0.3172,0.7401,-0.0093,-0.0173,33.0611,-6.7931,0.0000,0.1361,0.1361,-0.0320,0.0000,0.0000,-0.0104,-0.0042,0.0138
0.2000,0.2782,0.7601,-0.0176,-0.0173,33.1055,-6.8017,0.0000,0.1396,0.1396,-0.0318,0.0000,0.0000,-0.0104,-0.0042,0.0125
0.2000,0.4616,0.7801,-0.0260,-0.0173,33.1417,-6.8050,0.0000,0.1416,0.1416,-0.0354,0.0000,0.0000,-0.0104,-0.0042,0.0123
0.2000,0.4485,0.8001,-0.0344,-0.0173,33.1879,-6.8164,0.0000,0.1427,0.1427,-0.0339,0.0000,0.0000,-0.0104,-0.0042,0.0058
0.2000,0.3567,0.8201,-0.0428,-0.0173,33.2295,-6.8269,0.0000,0.1437,0.1437,-0.0383,0.0000,0.0000,-0.0104,-0.0042,-0.0002
0.1999,0.4722,0.8401,-0.0511,-0.0173,33.2733,-6.8343,0.0000,0.1449,0.1449,-0.0408,0.0000,0.0000,-0.0104,-0.0042,-0.0079
0.1999,0.4252,0.8601,-0.0595,-0.0173,33.3207,-6.8510,0.0000,0.1421,0.1421,-0.0385,0.0000,0.0000,-0.0104,-0.0042,-0.0160
0.1999,0.4402,0.8801,-0.0597,-0.0173,33.3617,-6.8640,0.0000,0.1382,0.1382,-0.0446,0.0000,0.0000,-0.0104,-0.0042,-0.0236
0.1999,0.4977,0.9001,-0.0579,-0.0173,33.4132,-6.8756,0.0000,0.1377,0.1377,-0.0492,0.0000,0.0000,-0.0104,-0.0042,-0.0316
0.1999,0.4276,0.9201,-0.0534,-0.0173,33.4695,-6.8968,0.0000,0.1330,0.1330,-0.0488,0.0000,0.0000,-0.0104,-0.0042,-0.0456
0.1999,0.5219,0.9401,-0.0456,-0.0173,33.5181,-6.9082,0.0000,0.1305,0.1305,-0.0559,0.0000,0.0000,-0.0104,-0.0042,-0.0551
0.1999,0.5969,0.9601,-0.0372,-0.0034,33.5719,-6.9189,0.0000,0.1311,0.1311,-0.0518,0.0000,0.0000,-0.0021,-0.0008,-0.0563
0.1999,0.4936,0.9801,-0.0320,-0.0034,33.6416,-6.9419,0.0000,0.1300,0.1300,-0.0483,0.0000,0.0000,-0.0021,-0.0008,-0.0546
0.1999,0.5423,1.0001,-0.0245,-0.0034,33.6952,-6.9558,0.0000,0.1281,0.1281,-0.0526,0.0000,0.0000,-0.0021,-0.0008,-0.0501
0.1999,0.7274,1.0201,-0.0168,-0.0034,33.7562,-6.9712,0.0000,0.1240,0.1240,-0.0542,0.0000,0.0000,-0.0021,-0.0008,-0.0391
0.1999,0.5489,1.0401,-0.0104,-0.0034,33.8153,-6.9896,0.0000,0.1256,0.1256,-0.0538,0.0000,0.0000,-0.0021,-0.0008,-0.0326
0.2000,0.6235,1.0601,-0.0053,-0.0034,33.8786,-7.0043,0.0000,0.1255,0.1255,-0.0547,0.0000,0.0000,-0.0021,-0.0008,-0.0252
0.2000,0.6139,1.0801,-0.0029,-0.0034,33.9427,-7.0188,0.0000,0.1282,0.1282,-0.0543,0.0000,0.0000,-0.0021,-0.0008,-0.0185
0.2000,0.6435,1.1001,-0.0004,-0.0034,34.0076,-7.0393,0.0000,0.1243,0.1243,-0.0539,0.0000,0.0000,-0.0021,-0.0008,-0.0125
0.2000,0.6505,1.1201,0.0014,-0.0034,34.0723,-7.0582,0.0000,0.1225,0.1225,-0.0531,0.0000,0.0000,-0.0021,-0.0008,-0.0050
0.2000,0.6752,1.1401,0.0098,0.0014,34.1474,-7.0711,0.0000,0.1304,0.1304,-0.0830,0.0000,0.0000,0.0008,0.0003,-0.0000
0.2000,0.6685,1.1601,0.0182,0.0014,34.2181,-7.0845,0.0000,0.1326,0.1326,-0.0850,0.0000,0.0000,0.0008,0.0003,0.0028
0.2000,0.7597,1.1801,0.0266,0.0014,34.2880,-7.1086,0.0000,0.1204,0.1204,-0.0856,0.0000,0.0000,0.0008,0.0003,0.0053
0.2000,0.7121,1.2001,0.0350,0.0014,34.3708,-7.1329,0.0000,0.1195,0.1195,-0.0795,0.0000,0.0000,0.0008,0.0003,0.0066
0.2000,0.7330,1.2201,0.0434,0.0014,34.4425,-7.1451,0.0000,0.1217,0.1217,-0.0816,0.0000,0.0000,0.0008,0.0003,0.0111
