"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.2,0,0.04,0.0067,0.0262,23.6145,-83.9234,-3.3472,-0.0728,-0.0728,0.0802,0,0,0.0158,0.0063
0.1999,0,0.08,0,0.0262,23.6143,-83.9181,-3.3478,-0.0777,-0.0777,0.0795,0,0,0.0158,0.0063
0.1999,0.0726,0.12,-0.0067,0.0262,23.6183,-83.9183,-3.3473,-0.0787,-0.0787,0.0801,0,0,0.0158,0.0063
0.2,0.0558,0.16,-0.0134,0.0262,23.6171,-83.9193,-3.3472,-0.0774,-0.0774,0.0802,0,0,0.0158,0.0063
0.2,0,0.2,-0.0201,0.0262,23.6143,-83.9134,-3.348,-0.0823,-0.0823,0.0793,0,0,0.0158,0.0063
0.2,0,0.24,-0.0268,0.0262,23.6137,-83.918,-3.3476,-0.0777,-0.0777,0.0797,0,0,0.0158,0.0063
0.2,0.0684,0.28,-0.0335,0.0262,23.6126,-83.9174,-3.3481,-0.0779,-0.0779,0.0793,0,0,0.0158,0.0063
0.2,0,0.32,-0.0365,0.0262,23.6114,-83.9167,-3.3482,-0.0783,-0.0783,0.0792,0,0,0.0158,0.0063
0.2,0,0.36,-0.039,0.0262,23.616,-83.918,-3.3478,-0.0783,-0.0783,0.0795,0,0,0.0158,0.0063
0.2,0,0.4,-0.0409,0.0262,23.6158,-83.9177,-3.3487,-0.0785,-0.0785,0.0787,0,0,0.0158,0.0063
0.2,0,0.44,-0.0423,0.0262,23.6168,-83.9186,-3.3491,-0.078,-0.078,0.0782,0,0,0.0158,0.0063
0.2,0,0.48,-0.0439,0.0262,23.6189,-83.9228,-3.3483,-0.0746,-0.0746,0.0791,0,0,0.0158,0.0063
0.2,0,0.52,-0.0447,0.0262,23.6151,-83.9178,-3.3491,-0.0783,-0.0783,0.0783,0,0,0.0158,0.0063
0.2,0.0504,0.56,-0.0456,0.0262,23.6204,-83.9208,-3.3483,-0.0769,-0.0769,0.0791,0,0,0.0158,0.0063
0.2,0.0652,0.6,-0.046,0.0262,23.6155,-83.9171,-3.3487,-0.079,-0.079,0.0787,0,0,0.0158,0.0063
0.2,0.0623,0.64,-0.0465,0.0262,23.6137,-83.9195,-3.3484,-0.0763,-0.0763,0.079,0,0,0.0158,0.0063
0.2,0.0623,0.68,-0.0465,0.0262,23.6097,-83.9174,-3.3489,-0.0771,-0.0771,0.0785,0,0,0.0158,0.0063
0.2,0,0.72,-0.0459,0.0262,23.6041,-83.9139,-3.3486,-0.0789,-0.0789,0.0788,0,0,0.0158,0.0063
0.2,0,0.76,-0.0455,0.0262,23.594,-83.9149,-3.3494,-0.0751,-0.0751,0.0779,0,0,0.0158,0.0063
0.2,0.0659,0.8,-0.0446,0.0262,23.582,-83.9119,-3.3502,-0.0746,-0.0746,0.0772,0,0,0.0158,0.0063
0.2,0.0999,0.84,-0.0436,0.0262,23.5665,-83.9097,-3.351,-0.0724,-0.0724,0.0764,0,0,0.0158,0.0063
0.2,0.1243,0.88,-0.0379,0.026,23.5423,-83.902,-3.352,-0.073,-0.073,0.0671,0,0,0.0157,0.0063
0.2,0.1558,0.92,-0.0339,0.026,23.517,-83.8976,-3.3531,-0.0703,-0.0703,0.066,0,0,0.0157,0.0063
0.2,0.2552,0.96,-0.0305,0.026,23.4755,-83.8854,-3.3539,-0.0707,-0.0707,0.0651,0,0,0.0157,0.0063
0.2,0.2559,1,-0.0283,0.026,23.4368,-83.8787,-3.3554,-0.0665,-0.0665,0.0636,0,0,0.0157,0.0063
0.2,0.4334,1.04,-0.0267,0.026,23.398,-83.8712,-3.3574,-0.0631,-0.0631,0.0617,0,0,0.0157,0.0063
