u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0000,0.0400,0.0067,0.0237,22.7369,-83.5482,-3.3325,-0.1960,-0.1960,0.0782,0.0000,0.0000,0.0143,0.0057
0.1999,0.0571,0.0800,0.0000,0.0237,22.7423,-83.5530,-3.3317,-0.1928,-0.1928,0.0790,0.0000,0.0000,0.0143,0.0057
0.1999,0.0000,0.1200,-0.0015,0.0237,22.7419,-83.5503,-3.3323,-0.1952,-0.1952,0.0784,0.0000,0.0000,0.0143,0.0057
0.1999,0.0740,0.1600,0.0015,0.0237,22.7407,-83.5500,-3.3318,-0.1952,-0.1952,0.0789,0.0000,0.0000,0.0143,0.0057
0.1999,0.0000,0.2000,0.0064,0.0237,22.7377,-83.5498,-3.3325,-0.1946,-0.1946,0.0782,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.2400,0.0131,0.0237,22.7408,-83.5485,-3.3303,-0.1967,-0.1967,0.0804,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.2800,0.0198,0.0237,22.7405,-83.5507,-3.3322,-0.1945,-0.1945,0.0785,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.3200,0.0265,0.0237,22.7443,-83.5513,-3.3314,-0.1949,-0.1949,0.0793,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.3600,0.0332,0.0237,22.7424,-83.5509,-3.3322,-0.1948,-0.1948,0.0785,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.4000,0.0389,0.0237,22.7431,-83.5473,-3.3310,-0.1984,-0.1984,0.0797,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.4400,0.0436,0.0237,22.7406,-83.5494,-3.3321,-0.1957,-0.1957,0.0786,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.4800,0.0468,0.0237,22.7454,-83.5518,-3.3301,-0.1948,-0.1948,0.0806,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.5200,0.0534,0.0237,22.7461,-83.5551,-3.3320,-0.1918,-0.1918,0.0787,0.0000,0.0000,0.0143,0.0057
0.2000,0.0573,0.5600,0.0601,0.0237,22.7384,-83.5515,-3.3321,-0.1932,-0.1932,0.0786,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.6000,0.0637,0.0237,22.7376,-83.5521,-3.3308,-0.1924,-0.1924,0.0799,0.0000,0.0000,0.0143,0.0057
0.2000,0.0848,0.6400,0.0668,0.0237,22.7426,-83.5496,-3.3311,-0.1962,-0.1962,0.0796,0.0000,0.0000,0.0143,0.0057
0.2000,0.0000,0.6800,0.0661,0.0237,22.7363,-83.5536,-3.3316,-0.1906,-0.1906,0.0791,0.0000,0.0000,0.0143,0.0057
0.2000,0.0571,0.7200,0.0629,0.0237,22.7278,-83.5545,-3.3312,-0.1875,-0.1875,0.0795,0.0000,0.0000,0.0143,0.0057
0.2000,0.0729,0.7600,0.0598,0.0237,22.7166,-83.5529,-3.3308,-0.1860,-0.1860,0.0799,0.0000,0.0000,0.0143,0.0057
0.2000,0.0862,0.8000,0.0567,0.0237,22.7038,-83.5525,-3.3309,-0.1830,-0.1830,0.0798,0.0000,0.0000,0.0143,0.0057
0.2000,0.1140,0.8400,0.0513,0.0237,22.6861,-83.5482,-3.3300,-0.1824,-0.1824,0.0807,0.0000,0.0000,0.0143,0.0057
0.2000,0.1279,0.8800,0.0460,0.0237,22.6609,-83.5431,-3.3292,-0.1806,-0.1806,0.0815,0.0000,0.0000,0.0143,0.0057
0.2000,0.1822,0.9200,0.0393,0.0215,22.6275,-83.5390,-3.3283,-0.1758,-0.1758,0.0743,0.0000,0.0000,0.0130,0.0052
0.2000,0.2568,0.9600,0.0338,0.0215,22.5973,-83.5355,-3.3276,-0.1714,-0.1714,0.0750,0.0000,0.0000,0.0130,0.0052
0.1999,0.3366,1.0000,0.0280,0.0215,22.5471,-83.5287,-3.3255,-0.1651,-0.1651,0.0771,0.0000,0.0000,0.0130,0.0052
0.2000,0.3047,1.0400,0.0219,0.0215,22.4917,-83.5172,-3.3241,-0.1619,-0.1619,0.0785,0.0000,0.0000,0.0130,0.0052
0.1999,0.5070,1.0800,0.0155,0.0215,22.4392,-83.5097,-3.3228,-0.1555,-0.1555,0.0799,0.0000,0.0000,0.0130,0.0052
0.2000,0.5658,1.1200,0.0088,0.0215,22.3831,-83.4990,-3.3216,-0.1513,-0.1513,0.0810,0.0000,0.0000,0.0130,0.0052
0.2000,0.5306,1.1600,0.0021,0.0215,22.3152,-83.4865,-3.3208,-0.1459,-0.1459,0.0818,0.0000,0.0000,0.0130,0.0052
0.2000,0.5718,1.2000,-0.0046,0.0215,22.2466,-83.4792,-3.3200,-0.1353,-0.1353,0.0826,0.0000,0.0000,0.0130,0.0052
0.2000,0.6899,1.2400,-0.0113,0.0215,22.1697,-83.4665,-3.3192,-0.1277,-0.1277,0.0834,0.0000,0.0000,0.0130,0.0052
0.2000,0.6907,1.2800,-0.0109,0.0248,22.0911,-83.4515,-3.3193,-0.1224,-0.1224,0.0754,0.0000,0.0000,0.0149,0.0060
0.2000,0.7795,1.3200,-0.0145,0.0248,22.0059,-83.4360,-3.3191,-0.1161,-0.1161,0.0756,0.0000,0.0000,0.0149,0.0060
0.2000,0.8009,1.3600,-0.0170,0.0248,21.9176,-83.4179,-3.3201,-0.1115,-0.1115,0.0746,0.0000,0.0000,0.0149,0.0060
0.2000,0.8665,1.4000,-0.0184,0.0248,21.8222,-83.3965,-3.3211,-0.1083,-0.1083,0.0736,0.0000,0.0000,0.0149,0.0060
0.2000,0.9007,1.4400,-0.0188,0.0248,21.7218,-83.3715,-3.3221,-0.1073,-0.1073,0.0726,0.0000,0.0000,0.0149,0.0060
0.2000,0.9778,1.4800,-0.0121,0.0286,21.6176,-83.3483,-3.3238,-0.1041,-0.1041,0.0630,0.0000,0.0000,0.0172,0.0069
0.2000,1.0345,1.5200,-0.0097,0.0286,21.5063,-83.3295,-3.3254,-0.0953,-0.0953,0.0614,0.0000,0.0000,0.0172,0.0069
0.2000,1.0670,1.5600,-0.0078,0.0286,21.3961,-83.3018,-3.3265,-0.0955,-0.0955,0.0603,0.0000,0.0000,0.0172,0.0069
0.2000,1.1288,1.6000,-0.0068,0.0286,21.2733,-83.2753,-3.3278,-0.0913,-0.0913,0.0589,0.0000,0.0000,0.0172,0.0069
0.2000,1.1375,1.6400,-0.0019,0.0289,21.1570,-83.2485,-3.3278,-0.0894,-0.0894,0.0510,0.0000,0.0000,0.0174,0.0070
0.2000,1.2571,1.6800,0.0011,0.0289,21.0380,-83.2193,-3.3285,-0.0898,-0.0898,0.0503,0.0000,0.0000,0.0174,0.0070
