u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0084,0.0043,59.7585,-61.5205,0.0000,0.1172,0.1172,-0.0220,0.0000,0.0000,0.0026,0.0010,0.0000
0.2000,0.0001,0.0401,0.0165,0.0043,59.7585,-61.5228,0.0000,0.1196,0.1196,-0.0215,0.0000,0.0000,0.0026,0.0010,0.0000
0.1999,0.0001,0.0601,0.0149,0.0043,59.7592,-61.5241,0.0000,0.1209,0.1209,-0.0222,0.0000,0.0000,0.0026,0.0010,0.0000
0.1999,0.0001,0.0801,0.0074,0.0043,59.7584,-61.5205,0.0000,0.1173,0.1173,-0.0218,0.0000,0.0000,0.0026,0.0010,0.0000
0.1998,0.0001,0.1001,-0.0009,0.0043,59.7594,-61.5202,0.0000,0.1170,0.1170,-0.0212,0.0000,0.0000,0.0026,0.0010,0.0000
0.1998,0.0001,0.1201,-0.0093,0.0043,59.7584,-61.5206,0.0000,0.1174,0.1174,-0.0212,0.0000,0.0000,0.0026,0.0010,0.0000
0.2000,0.0001,0.1401,-0.0177,0.0043,59.7528,-61.5200,0.0000,0.1164,0.1164,-0.0208,0.0000,0.0000,0.0026,0.0010,0.0000
0.2000,0.0001,0.1601,-0.0261,0.0043,59.7578,-61.5218,0.0000,0.1185,0.1185,-0.0216,0.0000,0.0000,0.0026,0.0010,0.0000
0.1998,0.0554,0.1801,-0.0321,0.0072,59.7511,-61.5198,0.0000,0.1157,0.1157,-0.0123,0.0000,0.0000,0.0043,0.0017,0.0000
0.2000,0.0519,0.2001,-0.0405,0.0072,59.7507,-61.5183,0.0000,0.1142,0.1142,-0.0126,0.0000,0.0000,0.0043,0.0017,0.0000
0.2000,0.0690,0.2201,-0.0489,0.0072,59.7503,-61.5180,0.0000,0.1138,0.1138,-0.0131,0.0000,0.0000,0.0043,0.0017,0.0000
0.2000,0.0001,0.2401,-0.0573,0.0043,59.7523,-61.5191,0.0000,0.1154,0.1154,-0.0221,0.0000,0.0000,0.0026,0.0010,0.0000
0.2000,0.0001,0.2601,-0.0632,0.0043,59.7540,-61.5163,0.0000,0.1128,0.1128,-0.0227,0.0000,0.0000,0.0026,0.0010,0.0000
0.2000,0.0001,0.2801,-0.0688,0.0072,59.7456,-61.5206,0.0000,0.1166,0.1166,-0.0138,0.0000,0.0000,0.0043,0.0017,0.0000
0.2000,0.0001,0.3001,-0.0752,0.0072,59.7422,-61.5180,0.0000,0.1138,0.1138,-0.0144,0.0000,0.0000,0.0043,0.0017,0.0000
0.1999,0.0936,0.3201,-0.0835,0.0072,59.7362,-61.5218,0.0000,0.1165,0.1165,-0.0149,0.0000,0.0000,0.0043,0.0017,0.0000
