u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,-0.0069,0.0023,57.2832,-61.4671,0.0000,-0.0993,-0.0993,0.0246,0.0000,0.0000,0.0014,0.0005,0.0000
0.1562,0.0789,0.0401,-0.0153,0.0023,57.2758,-61.4641,0.0000,-0.1020,-0.1020,0.0230,0.0000,0.0000,0.0014,0.0005,0.0000
0.1998,0.0001,0.0601,-0.0185,0.0023,57.2785,-61.4684,0.0000,-0.0983,-0.0983,0.0243,0.0000,0.0000,0.0014,0.0005,0.0000
0.1969,0.0827,0.0801,-0.0101,0.0023,57.2808,-61.4675,0.0000,-0.0982,-0.0982,0.0244,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.0560,0.1001,-0.0020,0.0023,57.2848,-61.4673,0.0000,-0.0984,-0.0984,0.0239,0.0000,0.0000,0.0014,0.0005,0.0000
0.1998,0.0001,0.1201,0.0039,0.0023,57.2904,-61.4678,0.0000,-0.0982,-0.0982,0.0244,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.1401,0.0123,0.0023,57.2793,-61.4678,0.0000,-0.0988,-0.0988,0.0225,0.0000,0.0000,0.0014,0.0005,0.0000
0.1998,0.0560,0.1601,0.0207,0.0023,57.2786,-61.4674,0.0000,-0.0987,-0.0987,0.0241,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.1112,0.1801,0.0291,0.0023,57.2806,-61.4714,0.0000,-0.0941,-0.0941,0.0244,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.2001,0.0359,0.0023,57.2824,-61.4657,0.0000,-0.1007,-0.1007,0.0245,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.2201,0.0418,0.0023,57.2856,-61.4667,0.0000,-0.0995,-0.0995,0.0246,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0583,0.2401,0.0491,0.0023,57.2818,-61.4728,0.0000,-0.0932,-0.0932,0.0228,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.2601,0.0532,0.0023,57.2845,-61.4686,0.0000,-0.0977,-0.0977,0.0247,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0642,0.2801,0.0576,0.0023,57.2824,-61.4719,0.0000,-0.0940,-0.0940,0.0248,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.3001,0.0601,0.0023,57.2846,-61.4697,0.0000,-0.0967,-0.0967,0.0249,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.3201,0.0614,0.0023,57.2884,-61.4723,0.0000,-0.0938,-0.0938,0.0250,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.3401,0.0639,0.0023,57.2877,-61.4650,0.0000,-0.1012,-0.1012,0.0253,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.0001,0.3601,0.0673,0.0023,57.2869,-61.4661,0.0000,-0.1001,-0.1001,0.0248,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.0715,0.3801,0.0708,0.0023,57.2856,-61.4653,0.0000,-0.1002,-0.1002,0.0253,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.4001,0.0736,0.0023,57.2823,-61.4673,0.0000,-0.0992,-0.0992,0.0254,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.4201,0.0747,0.0023,57.2733,-61.4667,0.0000,-0.1004,-0.1004,0.0260,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0001,0.4401,0.0760,0.0023,57.2457,-61.4678,0.0000,-0.1009,-0.1009,0.0241,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.0894,0.4601,0.0743,0.0023,57.2407,-61.4711,0.0000,-0.0969,-0.0969,0.0272,0.0000,0.0000,0.0014,0.0005,0.0000
0.1999,0.2743,0.4801,0.0792,0.0064,57.2197,-61.4735,0.0000,-0.0939,-0.0939,0.0273,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,0.0687,0.5001,0.0708,0.0023,57.2079,-61.4757,0.0000,-0.0946,-0.0946,0.0294,0.0000,0.0000,0.0014,0.0005,0.0000
0.2000,0.2086,0.5201,0.0712,0.0064,57.1669,-61.4838,0.0000,-0.0874,-0.0874,0.0285,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,0.1216,0.5401,0.0637,0.0064,57.1571,-61.4867,0.0000,-0.0859,-0.0859,0.0331,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,0.4141,0.5601,0.0661,0.0064,57.1260,-61.4883,0.0000,-0.0824,-0.0824,0.0328,0.0000,0.0000,0.0039,0.0015,0.0000
0.2000,0.1074,0.5801,0.0579,0.0064,57.0918,-61.4955,0.0000,-0.0812,-0.0812,0.0346,0.0000,0.0000,0.0039,0.0015,0.0000
