u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.1707,0.1907,0.0059,-0.0026,71.8260,143.9868,0.0000,-0.0596,-0.0596,0.0335,0.0000,0.0000,-0.0016,-0.0006,-0.0000
0.1999,0.1277,0.2107,0.0082,-0.0026,71.8373,143.9802,0.0000,-0.0678,-0.0678,0.0328,0.0000,0.0000,-0.0016,-0.0006,-0.0000
0.1998,0.1164,0.2307,0.0089,-0.0026,71.8392,143.9811,0.0000,-0.0672,-0.0672,0.0328,0.0000,0.0000,-0.0016,-0.0006,-0.0000
0.1998,0.1315,0.2507,0.0081,-0.0026,71.8310,143.9850,0.0000,-0.0625,-0.0625,0.0330,0.0000,0.0000,-0.0016,-0.0006,-0.0000
0.2000,0.0001,0.2707,0.0087,-0.0026,71.8339,143.9767,0.0000,-0.0731,-0.0731,0.0329,0.0000,0.0000,-0.0016,-0.0006,0.0045
0.2000,0.0879,0.2907,0.0101,-0.0026,71.8414,143.9769,0.0000,-0.0720,-0.0720,0.0330,0.0000,0.0000,-0.0016,-0.0006,0.0079
0.2000,0.0879,0.3107,0.0110,-0.0026,71.8413,143.9774,0.0000,-0.0716,-0.0716,0.0332,0.0000,0.0000,-0.0016,-0.0006,0.0083
0.2000,0.0879,0.3307,0.0095,-0.0026,71.8253,143.9845,0.0000,-0.0632,-0.0632,0.0338,0.0000,0.0000,-0.0016,-0.0006,0.0085
0.2000,0.1754,0.3507,0.0103,-0.0026,71.8335,143.9808,0.0000,-0.0661,-0.0661,0.0331,0.0000,0.0000,-0.0016,-0.0006,0.0086
0.2000,0.1754,0.3707,0.0109,-0.0026,71.8391,143.9785,0.0000,-0.0687,-0.0687,0.0337,0.0000,0.0000,-0.0016,-0.0006,0.0099
0.2000,0.0924,0.3907,0.0101,-0.0026,71.8330,143.9811,0.0000,-0.0671,-0.0671,0.0334,0.0000,0.0000,-0.0016,-0.0006,0.0107
