u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0084,0.0038,131.7980,156.1771,0.0000,0.1709,0.1709,-0.0610,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.0401,0.0165,0.0038,131.8015,156.1805,0.0000,0.1734,0.1734,-0.0612,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.0601,0.0243,0.0038,131.8016,156.1790,0.0000,0.1719,0.1719,-0.0612,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.0801,0.0324,0.0038,131.8007,156.1786,0.0000,0.1718,0.1718,-0.0612,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.1001,0.0408,0.0038,131.7988,156.1799,0.0000,0.1734,0.1734,-0.0611,0.0000,0.0000,0.0023,0.0009,0.0000
0.1998,0.0001,0.1201,0.0399,0.0038,131.8003,156.1806,0.0000,0.1738,0.1738,-0.0609,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.1401,0.0315,0.0038,131.7987,156.1787,0.0000,0.1723,0.1723,-0.0606,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.1601,0.0236,0.0038,131.7955,156.1782,0.0000,0.1725,0.1725,-0.0606,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.1801,0.0152,0.0038,131.7969,156.1819,0.0000,0.1759,0.1759,-0.0607,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.2001,0.0068,0.0038,131.7956,156.1796,0.0000,0.1738,0.1738,-0.0607,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.2201,-0.0016,0.0038,131.8010,156.1772,0.0000,0.1703,0.1703,-0.0612,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.2401,-0.0100,0.0038,131.7994,156.1789,0.0000,0.1723,0.1723,-0.0608,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0591,0.2601,-0.0184,0.0038,131.7987,156.1801,0.0000,0.1719,0.1719,-0.0611,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.2801,-0.0255,0.0038,131.7977,156.1797,0.0000,0.1735,0.1735,-0.0610,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.3001,-0.0317,0.0038,131.7972,156.1795,0.0000,0.1735,0.1735,-0.0616,0.0000,0.0000,0.0023,0.0009,0.0000
0.1999,0.0001,0.3201,-0.0400,0.0038,131.7988,156.1790,0.0000,0.1725,0.1725,-0.0616,0.0000,0.0000,0.0023,0.0009,0.0000
0.1999,0.0001,0.3401,-0.0468,0.0038,131.8098,156.1790,0.0000,0.1700,0.1700,-0.0621,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.3601,-0.0552,0.0038,131.8057,156.1783,0.0000,0.1703,0.1703,-0.0619,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.1089,0.3801,-0.0636,0.0038,131.8187,156.1825,0.0000,0.1680,0.1680,-0.0627,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0001,0.4001,-0.0709,0.0038,131.8265,156.1852,0.0000,0.1722,0.1722,-0.0631,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.1357,0.4201,-0.0746,0.0038,131.8377,156.1882,0.0000,0.1682,0.1682,-0.0640,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.0805,0.4401,-0.0751,0.0038,131.8634,156.1932,0.0000,0.1689,0.1689,-0.0651,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.1156,0.4601,-0.0716,0.0038,131.8854,156.1956,0.0000,0.1650,0.1650,-0.0663,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.2203,0.4801,-0.0645,0.0038,131.9257,156.2048,0.0000,0.1609,0.1609,-0.0685,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.2203,0.5001,-0.0576,0.0038,131.9665,156.2068,0.0000,0.1534,0.1534,-0.0699,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.2203,0.5201,-0.0538,0.0038,131.9882,156.2106,0.0000,0.1519,0.1519,-0.0718,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.4092,0.5401,-0.0473,0.0038,132.0339,156.2233,0.0000,0.1466,0.1466,-0.0736,0.0000,0.0000,0.0023,0.0009,0.0000
0.2000,0.2180,0.5601,-0.0409,0.0038,132.0878,156.2265,0.0000,0.1441,0.1441,-0.0757,0.0000,0.0000,0.0023,0.0009,0.0000
0.1998,0.4698,0.5801,-0.0493,-0.0224,132.1173,156.2267,0.0000,0.1281,0.1281,-0.0695,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1999,0.5363,0.6001,-0.0519,-0.0224,132.1626,156.2353,0.0000,0.1236,0.1236,-0.0712,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1999,0.2937,0.6201,-0.0441,-0.0224,132.2198,156.2472,0.0000,0.1309,0.1309,-0.0731,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1999,0.4566,0.6401,-0.0357,-0.0224,132.2538,156.2460,0.0000,0.1156,0.1156,-0.0754,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.2000,0.5788,0.6601,-0.0273,-0.0224,132.3075,156.2533,0.0000,0.1056,0.1056,-0.0776,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1999,0.3401,0.6801,-0.0189,-0.0224,132.3813,156.2656,0.0000,0.1100,0.1100,-0.0800,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1999,0.5374,0.7001,-0.0105,-0.0224,132.4343,156.2714,0.0000,0.0956,0.0956,-0.0813,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.1760,0.7414,0.7201,-0.0021,-0.0224,132.4999,156.2868,0.0000,0.0873,0.0873,-0.0826,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.2000,0.5286,0.7401,0.0063,-0.0224,132.5617,156.2972,0.0000,0.0922,0.0922,-0.0835,0.0000,0.0000,-0.0135,-0.0054,0.0000
0.2000,0.6677,0.7601,0.0136,-0.0235,132.6226,156.3039,0.0000,0.0791,0.0791,-0.0876,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1999,0.6215,0.7801,0.0220,-0.0235,132.6931,156.3125,0.0000,0.0737,0.0737,-0.0873,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1999,0.6078,0.8001,0.0304,-0.0235,132.7550,156.3265,0.0000,0.0741,0.0741,-0.0865,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.2000,0.7038,0.8201,0.0387,-0.0235,132.8212,156.3372,0.0000,0.0657,0.0657,-0.0860,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1999,0.6290,0.8401,0.0471,-0.0235,132.8934,156.3433,0.0000,0.0590,0.0590,-0.0846,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1999,0.6651,0.8601,0.0555,-0.0235,132.9738,156.3490,0.0000,0.0455,0.0455,-0.0829,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1999,0.7186,0.8801,0.0639,-0.0235,133.0463,156.3636,0.0000,0.0418,0.0418,-0.0808,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.1998,0.7987,0.9001,0.0723,-0.0235,133.1228,156.3815,0.0000,0.0399,0.0399,-0.0777,0.0000,0.0000,-0.0141,-0.0057,0.0000
0.2000,0.7800,0.9201,0.0807,0.0006,133.1970,156.3965,0.0000,0.0397,0.0397,-0.0714,0.0000,0.0000,0.0004,0.0001,0.0000
0.1999,0.7800,0.9401,0.0891,0.0006,133.2808,156.4090,0.0000,0.0347,0.0347,-0.0678,0.0000,0.0000,0.0004,0.0001,0.0000
