u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0084,0.0058,14.8814,-4.8937,0.0000,-0.1131,-0.1131,0.0026,0.0000,0.0000,0.0035,0.0014,-0.0000
0.2000,0.0001,0.0401,0.0168,0.0058,14.8831,-4.8936,0.0000,-0.1129,-0.1129,0.0030,0.0000,0.0000,0.0035,0.0014,-0.0000
0.2001,0.0001,0.0601,0.0252,0.0058,14.8861,-4.8956,0.0000,-0.1146,-0.1146,0.0021,0.0000,0.0000,0.0035,0.0014,-0.0000
0.2000,0.0001,0.0801,0.0336,0.0058,14.8874,-4.8950,0.0000,-0.1139,-0.1139,0.0014,0.0000,0.0000,0.0035,0.0014,0.0001
0.2000,0.0001,0.1001,0.0420,0.0058,14.8846,-4.8957,0.0000,-0.1149,-0.1149,0.0034,0.0000,0.0000,0.0035,0.0014,0.0072
0.2000,0.0001,0.1201,0.0504,0.0058,14.8799,-4.8940,0.0000,-0.1135,-0.1135,0.0020,0.0000,0.0000,0.0035,0.0014,0.0151
0.2000,0.0001,0.1401,0.0588,0.0058,14.8827,-4.8946,0.0000,-0.1139,-0.1139,0.0016,0.0000,0.0000,0.0035,0.0014,0.0225
0.2000,0.0001,0.1601,0.0672,0.0058,14.8851,-4.8952,0.0000,-0.1143,-0.1143,0.0023,0.0000,0.0000,0.0035,0.0014,0.0305
0.2000,0.0001,0.1801,0.0756,0.0058,14.8864,-4.8947,0.0000,-0.1137,-0.1137,0.0033,0.0000,0.0000,0.0035,0.0014,0.0383
0.2000,0.0001,0.2001,0.0840,0.0058,14.8811,-4.8945,0.0000,-0.1140,-0.1140,0.0035,0.0000,0.0000,0.0035,0.0014,0.0462
0.2000,0.0001,0.2201,0.0924,0.0058,14.8814,-4.8950,0.0000,-0.1144,-0.1144,0.0029,0.0000,0.0000,0.0035,0.0014,0.0543
0.2000,0.0523,0.2401,0.1008,0.0058,14.8841,-4.8937,0.0000,-0.1129,-0.1129,0.0026,0.0000,0.0000,0.0035,0.0014,0.0647
0.2000,0.0001,0.2601,0.1092,0.0058,14.8815,-4.8938,0.0000,-0.1133,-0.1133,0.0029,0.0000,0.0000,0.0035,0.0014,0.0738
0.2000,0.0001,0.2801,0.1176,0.0058,14.8832,-4.8942,0.0000,-0.1134,-0.1134,0.0041,0.0000,0.0000,0.0035,0.0014,0.0811
0.2000,0.0001,0.3001,0.1240,0.0058,14.8861,-4.8961,0.0000,-0.1151,-0.1151,0.0048,0.0000,0.0000,0.0035,0.0014,0.0890
0.2000,0.0001,0.3201,0.1316,0.0058,14.8928,-4.8945,0.0000,-0.1130,-0.1130,0.0062,0.0000,0.0000,0.0035,0.0014,0.0970
0.2000,0.0001,0.3401,0.1368,0.0058,14.8944,-4.8964,0.0000,-0.1148,-0.1148,0.0062,0.0000,0.0000,0.0035,0.0014,0.1069
0.2000,0.0710,0.3601,0.1403,0.0058,14.9034,-4.8973,0.0000,-0.1150,-0.1150,0.0055,0.0000,0.0000,0.0035,0.0014,0.1130
0.2000,0.0001,0.3801,0.1319,0.0058,14.9127,-4.8957,0.0000,-0.1126,-0.1126,0.0095,0.0000,0.0000,0.0035,0.0014,0.1195
0.2000,0.0900,0.4001,0.1243,0.0058,14.9419,-4.9014,0.0000,-0.1160,-0.1160,0.0108,0.0000,0.0000,0.0035,0.0014,0.1257
0.2000,0.1007,0.4201,0.1214,0.0058,14.9690,-4.9007,0.0000,-0.1131,-0.1131,0.0119,0.0000,0.0000,0.0035,0.0014,0.1311
0.2000,0.2942,0.4401,0.1130,0.0058,14.9891,-4.8970,0.0000,-0.1078,-0.1078,0.0131,0.0000,0.0000,0.0035,0.0014,0.1348
0.2000,0.2694,0.4601,0.1046,0.0058,15.0274,-4.9023,0.0000,-0.1100,-0.1100,0.0168,0.0000,0.0000,0.0035,0.0014,0.1287
0.2000,0.2038,0.4801,0.0962,0.0058,15.0541,-4.8963,0.0000,-0.1019,-0.1019,0.0182,0.0000,0.0000,0.0035,0.0014,0.1214
0.2000,0.3828,0.5001,0.0879,0.0058,15.0965,-4.9036,0.0000,-0.1058,-0.1058,0.0227,0.0000,0.0000,0.0035,0.0014,0.1182
0.2000,0.2733,0.5201,0.0806,-0.0090,15.1334,-4.9009,0.0000,-0.1003,-0.1003,0.0146,0.0000,0.0000,-0.0054,-0.0022,0.1118
0.2000,0.4241,0.5401,0.0735,-0.0090,15.1795,-4.9033,0.0000,-0.0994,-0.0994,0.0184,0.0000,0.0000,-0.0054,-0.0022,0.1043
