u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0529,0.0729,0.0008,0.0098,315.7605,-24.6952,0.0000,-0.2621,-0.2621,0.0624,0.0000,0.0000,0.0059,0.0023,0.0000
0.1999,0.0001,0.0929,0.0049,0.0098,315.7617,-24.6991,0.0000,-0.2600,-0.2600,0.0631,0.0000,0.0000,0.0059,0.0023,0.0000
0.1998,0.0001,0.1129,0.0119,0.0098,315.7627,-24.6963,0.0000,-0.2615,-0.2615,0.0624,0.0000,0.0000,0.0059,0.0023,0.0000
0.2000,0.0001,0.1329,0.0190,0.0098,315.7618,-24.6914,0.0000,-0.2658,-0.2658,0.0625,0.0000,0.0000,0.0059,0.0023,-0.0007
0.2000,0.0001,0.1529,0.0262,0.0098,315.7589,-24.6925,0.0000,-0.2669,-0.2669,0.0624,0.0000,0.0000,0.0059,0.0023,-0.0042
0.2000,0.0001,0.1729,0.0333,0.0098,315.7608,-24.6998,0.0000,-0.2601,-0.2601,0.0633,0.0000,0.0000,0.0059,0.0023,-0.0006
0.2000,0.0001,0.1929,0.0404,0.0098,315.7602,-24.6940,0.0000,-0.2649,-0.2649,0.0625,0.0000,0.0000,0.0059,0.0023,0.0046
0.2000,0.0788,0.2129,0.0476,0.0098,315.7623,-24.6943,0.0000,-0.2608,-0.2608,0.0631,0.0000,0.0000,0.0059,0.0023,0.0117
0.2000,0.0608,0.2329,0.0547,0.0098,315.7614,-24.6999,0.0000,-0.2577,-0.2577,0.0642,0.0000,0.0000,0.0059,0.0023,0.0180
0.2000,0.0001,0.2529,0.0619,0.0098,315.7632,-24.6941,0.0000,-0.2629,-0.2629,0.0631,0.0000,0.0000,0.0059,0.0023,0.0237
0.2000,0.0595,0.2729,0.0690,0.0098,315.7644,-24.6945,0.0000,-0.2599,-0.2599,0.0642,0.0000,0.0000,0.0059,0.0023,0.0311
0.2000,0.0619,0.2929,0.0761,0.0098,315.7684,-24.6959,0.0000,-0.2562,-0.2562,0.0648,0.0000,0.0000,0.0059,0.0023,0.0377
0.2000,0.0001,0.3129,0.0833,0.0098,315.7641,-24.6954,0.0000,-0.2613,-0.2613,0.0636,0.0000,0.0000,0.0059,0.0023,0.0446
0.2000,0.0001,0.3329,0.0904,0.0098,315.7617,-24.6925,0.0000,-0.2650,-0.2650,0.0637,0.0000,0.0000,0.0059,0.0023,0.0509
0.1999,0.0001,0.3529,0.0975,0.0098,315.7607,-24.6963,0.0000,-0.2628,-0.2628,0.0641,0.0000,0.0000,0.0059,0.0023,0.0590
0.1999,0.0001,0.3729,0.1045,0.0098,315.7579,-24.7049,0.0000,-0.2581,-0.2581,0.0647,0.0000,0.0000,0.0059,0.0023,0.0668
0.2000,0.0001,0.3929,0.1116,0.0098,315.7499,-24.7094,0.0000,-0.2598,-0.2598,0.0648,0.0000,0.0000,0.0059,0.0023,0.0736
0.2000,0.0914,0.4129,0.1188,0.0098,315.7379,-24.7257,0.0000,-0.2521,-0.2521,0.0683,0.0000,0.0000,0.0059,0.0023,0.0812
0.2000,0.0908,0.4329,0.1259,0.0098,315.7299,-24.7347,0.0000,-0.2503,-0.2503,0.0690,0.0000,0.0000,0.0059,0.0023,0.0891
0.2000,0.2020,0.4529,0.1188,0.0098,315.7133,-24.7595,0.0000,-0.2380,-0.2380,0.0745,0.0000,0.0000,0.0059,0.0023,0.0957
0.2000,0.1190,0.4729,0.1119,0.0098,315.6950,-24.7853,0.0000,-0.2331,-0.2331,0.0741,0.0000,0.0000,0.0059,0.0023,0.1022
0.1999,0.2988,0.4929,0.1049,0.0098,315.6710,-24.8109,0.0000,-0.2217,-0.2217,0.0826,0.0000,0.0000,0.0059,0.0023,0.1088
0.1999,0.3150,0.5129,0.0978,0.0098,315.6435,-24.8413,0.0000,-0.2153,-0.2153,0.0861,0.0000,0.0000,0.0059,0.0023,0.1148
0.1999,0.3484,0.5329,0.0907,0.0098,315.6173,-24.8695,0.0000,-0.2089,-0.2089,0.0892,0.0000,0.0000,0.0059,0.0023,0.1106
0.2000,0.4072,0.5529,0.0836,0.0098,315.5877,-24.9024,0.0000,-0.1998,-0.1998,0.0927,0.0000,0.0000,0.0059,0.0023,0.1049
0.1999,0.3822,0.5729,0.0765,0.0098,315.5544,-24.9359,0.0000,-0.1966,-0.1966,0.0941,0.0000,0.0000,0.0059,0.0023,0.0986
0.2000,0.4402,0.5929,0.0693,0.0098,315.5209,-24.9736,0.0000,-0.1863,-0.1863,0.0970,0.0000,0.0000,0.0059,0.0023,0.0920
0.2000,0.4681,0.6129,0.0728,0.0054,315.4893,-25.0064,0.0000,-0.1804,-0.1804,0.0709,0.0000,0.0000,0.0032,0.0013,0.0854
0.2000,0.5013,0.6329,0.0667,0.0054,315.4516,-25.0488,0.0000,-0.1722,-0.1722,0.0734,0.0000,0.0000,0.0032,0.0013,0.0785
0.1999,0.4450,0.6529,0.0646,0.0054,315.4172,-25.0888,0.0000,-0.1672,-0.1672,0.0726,0.0000,0.0000,0.0032,0.0013,0.0721
0.2000,0.5625,0.6729,0.0575,0.0054,315.3801,-25.1369,0.0000,-0.1512,-0.1512,0.0767,0.0000,0.0000,0.0032,0.0013,0.0655
0.2000,0.6038,0.6929,0.0512,0.0054,315.3364,-25.1725,0.0000,-0.1519,-0.1519,0.0786,0.0000,0.0000,0.0032,0.0013,0.0672
0.2000,0.6038,0.7129,0.0440,0.0054,315.2976,-25.2208,0.0000,-0.1410,-0.1410,0.0809,0.0000,0.0000,0.0032,0.0013,0.0630
