u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2001,0.0001,0.0201,0.0084,0.0378,14.1060,-4.7087,0.0000,0.0070,0.0070,-0.0049,0.0000,0.0000,0.0228,0.0091
0.2001,0.0001,0.0401,0.0167,0.0378,14.1035,-4.7069,0.0000,0.0085,0.0085,-0.0051,0.0000,0.0000,0.0228,0.0091
0.2002,0.0001,0.0601,0.0230,0.0378,14.1019,-4.7087,0.0000,0.0066,0.0066,-0.0038,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.0801,0.0287,0.0378,14.1088,-4.7099,0.0000,0.0061,0.0061,-0.0048,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1001,0.0301,0.0378,14.1058,-4.7091,0.0000,0.0065,0.0065,-0.0030,0.0000,0.0000,0.0228,0.0091
0.2002,0.0706,0.1201,0.0307,0.0378,14.1044,-4.7069,0.0000,0.0087,0.0087,-0.0041,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1401,0.0315,0.0378,14.1047,-4.7076,0.0000,0.0080,0.0080,-0.0039,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1601,0.0320,0.0378,14.1064,-4.7097,0.0000,0.0060,0.0060,-0.0030,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1801,0.0332,0.0378,14.1084,-4.7103,0.0000,0.0056,0.0056,-0.0043,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2001,0.0342,0.0378,14.1016,-4.7099,0.0000,0.0054,0.0054,-0.0042,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2201,0.0342,0.0378,14.1031,-4.7098,0.0000,0.0057,0.0057,-0.0029,0.0000,0.0000,0.0228,0.0091
0.2000,0.0673,0.2401,0.0338,0.0378,14.1017,-4.7092,0.0000,0.0061,0.0061,-0.0027,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2601,0.0334,0.0378,14.0998,-4.7088,0.0000,0.0064,0.0064,-0.0020,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2801,0.0333,0.0378,14.1018,-4.7102,0.0000,0.0052,0.0052,-0.0021,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3001,0.0332,0.0378,14.1032,-4.7088,0.0000,0.0067,0.0067,-0.0027,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3201,0.0332,0.0378,14.1105,-4.7092,0.0000,0.0068,0.0068,-0.0033,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3401,0.0336,0.0378,14.1087,-4.7099,0.0000,0.0060,0.0060,-0.0036,0.0000,0.0000,0.0228,0.0091
0.2000,0.0725,0.3601,0.0333,0.0378,14.1115,-4.7100,0.0000,0.0062,0.0062,-0.0021,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3801,0.0333,0.0378,14.1160,-4.7101,0.0000,0.0065,0.0065,-0.0027,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.4001,0.0335,0.0378,14.1275,-4.7108,0.0000,0.0068,0.0068,-0.0034,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.4201,0.0335,0.0378,14.1408,-4.7108,0.0000,0.0078,0.0078,-0.0033,0.0000,0.0000,0.0228,0.0091
0.2000,0.1149,0.4401,0.0333,0.0378,14.1533,-4.7123,0.0000,0.0075,0.0075,-0.0029,0.0000,0.0000,0.0228,0.0091
0.2000,0.1314,0.4601,0.0332,0.0378,14.1711,-4.7142,0.0000,0.0071,0.0071,-0.0027,0.0000,0.0000,0.0228,0.0091
0.2000,0.1248,0.4801,0.0328,0.0378,14.1880,-4.7149,0.0000,0.0079,0.0079,-0.0024,0.0000,0.0000,0.0228,0.0091
0.2000,0.1776,0.5001,0.0315,0.0378,14.2076,-4.7147,0.0000,0.0098,0.0098,-0.0014,0.0000,0.0000,0.0228,0.0091
0.2000,0.1682,0.5201,0.0306,0.0378,14.2405,-4.7208,0.0000,0.0066,0.0066,0.0004,0.0000,0.0000,0.0228,0.0091
0.2000,0.1945,0.5401,0.0299,0.0378,14.2636,-4.7212,0.0000,0.0082,0.0082,-0.0009,0.0000,0.0000,0.0228,0.0091
0.2000,0.3311,0.5601,0.0271,0.0378,14.2806,-4.7220,0.0000,0.0088,0.0088,0.0010,0.0000,0.0000,0.0228,0.0091
0.2000,0.2283,0.5801,0.0269,0.0378,14.3084,-4.7247,0.0000,0.0085,0.0085,-0.0003,0.0000,0.0000,0.0228,0.0091
0.2000,0.1697,0.6001,0.0266,0.0378,14.3373,-4.7298,0.0000,0.0059,0.0059,0.0020,0.0000,0.0000,0.0228,0.0091
0.2000,0.2771,0.6201,0.0242,0.0378,14.3628,-4.7255,0.0000,0.0124,0.0124,0.0010,0.0000,0.0000,0.0228,0.0091
0.2000,0.2902,0.6401,0.0211,0.0378,14.4067,-4.7281,0.0000,0.0136,0.0136,0.0026,0.0000,0.0000,0.0228,0.0091
0.2000,0.2553,0.6601,0.0191,0.0378,14.4432,-4.7306,0.0000,0.0143,0.0143,0.0030,0.0000,0.0000,0.0228,0.0091
0.2000,0.4366,0.6801,0.0107,0.0117,14.4850,-4.7340,0.0000,0.0144,0.0144,-0.0023,0.0000,0.0000,0.0071,0.0028
0.2000,0.3627,0.7001,0.0070,0.0117,14.5367,-4.7420,0.0000,0.0106,0.0106,-0.0004,0.0000,0.0000,0.0071,0.0028
0.2000,0.4151,0.7201,0.0020,0.0117,14.5830,-4.7405,0.0000,0.0157,0.0157,-0.0009,0.0000,0.0000,0.0071,0.0028
0.2000,0.5185,0.7401,-0.0043,0.0117,14.6427,-4.7455,0.0000,0.0156,0.0156,0.0008,0.0000,0.0000,0.0071,0.0028
0.2000,0.4589,0.7601,-0.0084,0.0117,14.6953,-4.7464,0.0000,0.0188,0.0188,0.0011,0.0000,0.0000,0.0071,0.0028
0.2000,0.5942,0.7801,-0.0143,0.0117,14.7401,-4.7459,0.0000,0.0229,0.0229,-0.0002,0.0000,0.0000,0.0071,0.0028
0.2000,0.5213,0.8001,-0.0166,0.0117,14.8097,-4.7529,0.0000,0.0215,0.0215,0.0018,0.0000,0.0000,0.0071,0.0028
0.2000,0.4443,0.8201,-0.0156,0.0117,14.8652,-4.7539,0.0000,0.0249,0.0249,-0.0007,0.0000,0.0000,0.0071,0.0028
0.2000,0.6930,0.8401,-0.0240,0.0117,14.9224,-4.7540,0.0000,0.0294,0.0294,-0.0016,0.0000,0.0000,0.0071,0.0028
0.2000,0.5494,0.8601,-0.0263,0.0117,14.9889,-4.7544,0.0000,0.0343,0.0343,-0.0026,0.0000,0.0000,0.0071,0.0028
0.2000,0.5676,0.8801,-0.0270,0.0117,15.0549,-4.7563,0.0000,0.0377,0.0377,-0.0044,0.0000,0.0000,0.0071,0.0028
0.2000,0.6586,0.9001,-0.0259,0.0117,15.1194,-4.7638,0.0000,0.0354,0.0354,-0.0054,0.0000,0.0000,0.0071,0.0028
0.2000,0.6538,0.9201,-0.0343,-0.0085,15.1907,-4.7678,0.0000,0.0364,0.0364,-0.0171,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.6439,0.9401,-0.0259,-0.0085,15.2525,-4.7813,0.0000,0.0274,0.0274,-0.0203,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.7081,0.9601,-0.0175,-0.0085,15.3372,-4.8035,0.0000,0.0112,0.0112,-0.0194,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.6290,0.9801,-0.0091,-0.0085,15.3986,-4.8036,0.0000,0.0154,0.0154,-0.0217,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.8679,1.0001,-0.0007,-0.0085,15.4831,-4.8044,0.0000,0.0206,0.0206,-0.0237,0.0000,0.0000,-0.0051,-0.0020
0.2000,0.6079,1.0201,0.0077,-0.0085,15.5749,-4.8157,0.0000,0.0157,0.0157,-0.0249,0.0000,0.0000,-0.0051,-0.0020
