"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.2,0.0001,0.0251,0.0067,0.0133,-2.2591,-27.742,0,-0.1154,-0.1154,0.0647,0,0,0.008,0.0032
0.2,0.0001,0.0501,0,0.0133,-2.2585,-27.743,0,-0.1148,-0.1148,0.0646,0,0,0.008,0.0032
0.2,0.0001,0.0751,-0.0067,0.0133,-2.2591,-27.7385,0,-0.1157,-0.1157,0.0651,0,0,0.008,0.0032
0.1999,0.0001,0.1001,-0.0123,0.0133,-2.2567,-27.7377,0,-0.1133,-0.1133,0.0654,0,0,0.008,0.0032
0.1999,0.0001,0.1251,-0.019,0.0133,-2.2574,-27.742,0,-0.1138,-0.1138,0.0653,0,0,0.008,0.0032
0.1999,0.0001,0.1501,-0.0257,0.0133,-2.2552,-27.7433,0,-0.1115,-0.1115,0.0645,0,0,0.008,0.0032
0.2,0.0001,0.1751,-0.0274,0.0133,-2.2582,-27.7417,0,-0.1146,-0.1146,0.0658,0,0,0.008,0.0032
0.2,0.0001,0.2001,-0.0266,0.0133,-2.2578,-27.7401,0,-0.1143,-0.1143,0.0656,0,0,0.008,0.0032
0.1999,0.0001,0.2251,-0.0236,0.0133,-2.2599,-27.7461,0,-0.116,-0.116,0.0649,0,0,0.008,0.0032
0.1999,0.0001,0.2501,-0.0193,0.0133,-2.2622,-27.7402,0,-0.1187,-0.1187,0.0651,0,0,0.008,0.0032
0.2,0.0647,0.2751,-0.0137,0.0133,-2.2592,-27.7416,0,-0.1156,-0.1156,0.0642,0,0,0.008,0.0032
0.1999,0.0622,0.3001,-0.0087,0.0133,-2.2595,-27.7465,0,-0.1156,-0.1156,0.0646,0,0,0.008,0.0032
0.1999,0.0001,0.3251,-0.0052,0.0133,-2.2594,-27.7408,0,-0.1158,-0.1158,0.0651,0,0,0.008,0.0032
0.1999,0.0001,0.3501,-0.0022,0.0133,-2.2582,-27.7416,0,-0.1145,-0.1145,0.0645,0,0,0.008,0.0032
