u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0001,0.0201,0.0080,0.0378,14.2252,-4.6462,0.0000,-0.0030,-0.0030,-0.0194,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.0401,0.0158,0.0378,14.2280,-4.6478,0.0000,-0.0044,-0.0044,-0.0191,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.0601,0.0238,0.0378,14.2320,-4.6472,0.0000,-0.0035,-0.0035,-0.0199,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.0801,0.0311,0.0378,14.2337,-4.6456,0.0000,-0.0017,-0.0017,-0.0199,0.0000,0.0000,0.0228,0.0091
0.1998,0.0001,0.1001,0.0391,0.0378,14.2313,-4.6469,0.0000,-0.0032,-0.0032,-0.0198,0.0000,0.0000,0.0228,0.0091
0.1998,0.0001,0.1201,0.0471,0.0378,14.2306,-4.6472,0.0000,-0.0035,-0.0035,-0.0196,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.1401,0.0551,0.0378,14.2274,-4.6473,0.0000,-0.0039,-0.0039,-0.0184,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1601,0.0630,0.0378,14.2337,-4.6468,0.0000,-0.0029,-0.0029,-0.0184,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1801,0.0710,0.0378,14.2266,-4.6456,0.0000,-0.0023,-0.0023,-0.0182,0.0000,0.0000,0.0228,0.0091
0.2000,0.0627,0.2001,0.0790,0.0378,14.2228,-4.6448,0.0000,-0.0018,-0.0018,-0.0179,0.0000,0.0000,0.0228,0.0091
0.2000,0.0713,0.2201,0.0870,0.0378,14.2237,-4.6452,0.0000,-0.0021,-0.0021,-0.0175,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2401,0.0906,0.0378,14.2221,-4.6474,0.0000,-0.0044,-0.0044,-0.0155,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2601,0.0931,0.0378,14.2256,-4.6462,0.0000,-0.0029,-0.0029,-0.0166,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2801,0.0943,0.0378,14.2271,-4.6470,0.0000,-0.0036,-0.0036,-0.0148,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3001,0.0955,0.0378,14.2320,-4.6461,0.0000,-0.0024,-0.0024,-0.0170,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.3201,0.0965,0.0378,14.2386,-4.6480,0.0000,-0.0037,-0.0037,-0.0172,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.3401,0.0971,0.0378,14.2363,-4.6490,0.0000,-0.0049,-0.0049,-0.0166,0.0000,0.0000,0.0228,0.0091
0.2000,0.0681,0.3601,0.0971,0.0378,14.2384,-4.6484,0.0000,-0.0041,-0.0041,-0.0162,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.3801,0.0967,0.0378,14.2470,-4.6487,0.0000,-0.0037,-0.0037,-0.0168,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.4001,0.0950,0.0378,14.2564,-4.6478,0.0000,-0.0021,-0.0021,-0.0155,0.0000,0.0000,0.0228,0.0091
0.1999,0.0852,0.4201,0.0929,0.0378,14.2709,-4.6471,0.0000,-0.0002,-0.0002,-0.0158,0.0000,0.0000,0.0228,0.0091
0.1999,0.0952,0.4401,0.0899,0.0378,14.2954,-4.6505,0.0000,-0.0016,-0.0016,-0.0130,0.0000,0.0000,0.0228,0.0091
0.1999,0.1444,0.4601,0.0863,0.0378,14.3141,-4.6495,0.0000,0.0008,0.0008,-0.0131,0.0000,0.0000,0.0228,0.0091
0.1999,0.2445,0.4801,0.0783,0.0378,14.3438,-4.6456,0.0000,0.0071,0.0071,-0.0108,0.0000,0.0000,0.0228,0.0091
0.1999,0.1860,0.5001,0.0703,0.0378,14.3829,-4.6488,0.0000,0.0070,0.0070,-0.0085,0.0000,0.0000,0.0228,0.0091
