u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0039,0.0117,14.5344,-4.8274,0.0000,-0.0748,-0.0748,0.0353,0.0000,0.0000,0.0071,0.0028,0.0005
0.2000,0.0001,0.0401,-0.0038,0.0117,14.5329,-4.8290,0.0000,-0.0765,-0.0765,0.0366,0.0000,0.0000,0.0071,0.0028,0.0005
0.2000,0.0001,0.0601,-0.0113,0.0117,14.5302,-4.8265,0.0000,-0.0743,-0.0743,0.0349,0.0000,0.0000,0.0071,0.0028,0.0005
0.2000,0.0001,0.0801,-0.0194,0.0117,14.5271,-4.8238,0.0000,-0.0718,-0.0718,0.0343,0.0000,0.0000,0.0071,0.0028,0.0005
0.2001,0.0001,0.1001,-0.0278,0.0117,14.5312,-4.8228,0.0000,-0.0705,-0.0705,0.0347,0.0000,0.0000,0.0071,0.0028,0.0038
0.2000,0.0001,0.1201,-0.0337,0.0117,14.5333,-4.8246,0.0000,-0.0721,-0.0721,0.0337,0.0000,0.0000,0.0071,0.0028,-0.0013
0.2000,0.0001,0.1401,-0.0354,0.0117,14.5231,-4.8235,0.0000,-0.0717,-0.0717,0.0346,0.0000,0.0000,0.0071,0.0028,-0.0072
0.2000,0.0001,0.1601,-0.0360,0.0117,14.5288,-4.8223,0.0000,-0.0701,-0.0701,0.0365,0.0000,0.0000,0.0071,0.0028,-0.0141
0.2000,0.0611,0.1801,-0.0299,0.0117,14.5366,-4.8232,0.0000,-0.0704,-0.0704,0.0339,0.0000,0.0000,0.0071,0.0028,-0.0219
0.2000,0.0611,0.2001,-0.0241,0.0117,14.5251,-4.8190,0.0000,-0.0672,-0.0672,0.0337,0.0000,0.0000,0.0071,0.0028,-0.0280
0.2000,0.1213,0.2201,-0.0157,0.0117,14.5279,-4.8213,0.0000,-0.0692,-0.0692,0.0341,0.0000,0.0000,0.0071,0.0028,-0.0320
0.2000,0.1213,0.2401,-0.0073,0.0117,14.5277,-4.8210,0.0000,-0.0689,-0.0689,0.0333,0.0000,0.0000,0.0071,0.0028,-0.0335
0.2000,0.0001,0.2601,-0.0037,0.0117,14.5304,-4.8228,0.0000,-0.0705,-0.0705,0.0345,0.0000,0.0000,0.0071,0.0028,-0.0315
0.2000,0.0001,0.2801,-0.0001,0.0117,14.5314,-4.8235,0.0000,-0.0711,-0.0711,0.0348,0.0000,0.0000,0.0071,0.0028,-0.0260
0.2000,0.0001,0.3001,0.0029,0.0117,14.5354,-4.8251,0.0000,-0.0724,-0.0724,0.0367,0.0000,0.0000,0.0071,0.0028,-0.0200
0.2000,0.0001,0.3201,0.0063,0.0117,14.5357,-4.8238,0.0000,-0.0711,-0.0711,0.0343,0.0000,0.0000,0.0071,0.0028,-0.0119
0.2000,0.0001,0.3401,0.0096,0.0117,14.5268,-4.8254,0.0000,-0.0734,-0.0734,0.0350,0.0000,0.0000,0.0071,0.0028,-0.0044
0.2000,0.0001,0.3601,0.0117,0.0117,14.5287,-4.8244,0.0000,-0.0722,-0.0722,0.0365,0.0000,0.0000,0.0071,0.0028,-0.0009
0.2000,0.0887,0.3801,0.0155,0.0117,14.5347,-4.8253,0.0000,-0.0727,-0.0727,0.0353,0.0000,0.0000,0.0071,0.0028,0.0022
0.2000,0.0001,0.4001,0.0174,0.0117,14.5416,-4.8273,0.0000,-0.0741,-0.0741,0.0359,0.0000,0.0000,0.0071,0.0028,0.0050
0.2000,0.0612,0.4201,0.0194,0.0117,14.5516,-4.8265,0.0000,-0.0725,-0.0725,0.0355,0.0000,0.0000,0.0071,0.0028,0.0080
0.2000,0.0705,0.4401,0.0204,0.0117,14.5643,-4.8254,0.0000,-0.0704,-0.0704,0.0359,0.0000,0.0000,0.0071,0.0028,0.0105
0.2000,0.0990,0.4601,0.0209,0.0117,14.6010,-4.8292,0.0000,-0.0713,-0.0713,0.0372,0.0000,0.0000,0.0071,0.0028,0.0128
0.2000,0.1271,0.4801,0.0218,0.0117,14.6193,-4.8256,0.0000,-0.0662,-0.0662,0.0361,0.0000,0.0000,0.0071,0.0028,0.0159
0.2000,0.3648,0.5001,0.0265,0.0117,14.6445,-4.8220,0.0000,-0.0606,-0.0606,0.0365,0.0000,0.0000,0.0071,0.0028,0.0175
