u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2,0.3825,0.4025,-0.0084,-0.009,15.9415,-4.7796,0,0.042,0.042,-0.0104,0,0,-0.0054,-0.0022,0.0092
0.1999,0.3825,0.4225,-0.0167,-0.009,15.9539,-4.7796,0,0.0429,0.0429,-0.0085,0,0,-0.0054,-0.0022,0.0092
0.2,0.2223,0.4425,-0.0251,-0.009,15.9621,-4.781,0,0.0422,0.0422,-0.0085,0,0,-0.0054,-0.0022,0.0092
0.2,0.124,0.4625,-0.0275,-0.009,15.9673,-4.7847,0,0.039,0.039,-0.0082,0,0,-0.0054,-0.0022,0.0083
0.2,0.0829,0.4825,-0.0285,-0.009,15.9715,-4.7854,0,0.0386,0.0386,-0.0088,0,0,-0.0054,-0.0022,0.0013
0.2,0.0617,0.5025,-0.0293,-0.009,15.9731,-4.7843,0,0.0399,0.0399,-0.0088,0,0,-0.0054,-0.0022,-0.006
0.2,0.0001,0.5225,-0.0301,-0.009,15.964,-4.78,0,0.0435,0.0435,-0.0091,0,0,-0.0054,-0.0022,-0.0139
0.2,0.0001,0.5425,-0.0306,-0.009,15.9619,-4.7798,0,0.0436,0.0436,-0.0091,0,0,-0.0054,-0.0022,-0.0162
0.1999,0.0987,0.5625,-0.0321,-0.009,15.9679,-4.7835,0,0.0402,0.0402,-0.0089,0,0,-0.0054,-0.0022,-0.0174
0.2,0.0001,0.5825,-0.0315,-0.009,15.9699,-4.7819,0,0.0421,0.0421,-0.0092,0,0,-0.0054,-0.0022,-0.0188
0.2,0.0001,0.6025,-0.0307,-0.009,15.9718,-4.7838,0,0.0403,0.0403,-0.009,0,0,-0.0054,-0.0022,-0.0241
0.2,0.0001,0.6225,-0.03,-0.009,15.9692,-4.7825,0,0.0414,0.0414,-0.0091,0,0,-0.0054,-0.0022,-0.0247
0.2,0.0001,0.6425,-0.029,-0.009,15.9696,-4.783,0,0.041,0.041,-0.0095,0,0,-0.0054,-0.0022,-0.0261
0.2,0.0001,0.6625,-0.0282,-0.009,15.9702,-4.7814,0,0.0426,0.0426,-0.0099,0,0,-0.0054,-0.0022,-0.0255
0.2,0.0001,0.6825,-0.0273,-0.009,15.9701,-4.782,0,0.042,0.042,-0.0099,0,0,-0.0054,-0.0022,-0.0249
0.2,0.0001,0.7025,-0.0265,-0.009,15.9762,-4.7829,0,0.0415,0.0415,-0.0095,0,0,-0.0054,-0.0022,-0.0242
0.2,0.0001,0.7225,-0.0254,-0.009,15.9769,-4.7839,0,0.0406,0.0406,-0.0099,0,0,-0.0054,-0.0022,-0.0176
0.2,0.0609,0.7425,-0.0246,-0.009,15.9784,-4.7842,0,0.0403,0.0403,-0.0098,0,0,-0.0054,-0.0022,-0.0177
0.2,0.0001,0.7625,-0.0235,-0.009,15.9802,-4.7834,0,0.0413,0.0413,-0.0106,0,0,-0.0054,-0.0022,-0.0158
0.2,0.0001,0.7825,-0.0221,-0.009,15.9864,-4.7849,0,0.0403,0.0403,-0.0113,0,0,-0.0054,-0.0022,-0.0151
0.2,0.0001,0.8025,-0.0208,-0.009,15.9967,-4.7884,0,0.0375,0.0375,-0.0106,0,0,-0.0054,-0.0022,-0.0143
0.2,0.0643,0.8225,-0.0196,-0.009,16.0101,-4.7895,0,0.0372,0.0372,-0.0112,0,0,-0.0054,-0.0022,-0.0141
0.2,0.107,0.8425,-0.0179,-0.009,16.0401,-4.7908,0,0.038,0.038,-0.0129,0,0,-0.0054,-0.0022,-0.0124
0.2,0.1339,0.8625,-0.0156,-0.009,16.0769,-4.7959,0,0.0354,0.0354,-0.014,0,0,-0.0054,-0.0022,-0.0112
0.2,0.2966,0.8825,-0.0072,0.005,16.1152,-4.8005,0,0.0334,0.0334,-0.0067,0,0,0.003,0.0012,-0.01
0.2,0.3694,0.9025,-0.0057,0.005,16.1695,-4.8089,0,0.0292,0.0292,-0.0078,0,0,0.003,0.0012,-0.0088
0.2,0.3824,0.9225,-0.0046,0.005,16.2236,-4.8101,0,0.0322,0.0322,-0.0091,0,0,0.003,0.0012,-0.0072
0.2,0.5452,0.9425,0.0037,0.005,16.3027,-4.8444,0,0.0033,0.0033,-0.0222,0,0,0.003,0.0012,-0.0051
0.2,0.5362,0.9625,0.0114,0.005,16.3404,-4.8135,0,0.0369,0.0369,-0.026,0,0,0.003,0.0012,0.0021
0.2,0.877,0.9825,0.003,0.005,16.3772,-4.7852,0,0.0682,0.0682,-0.0146,0,0,0.003,0.0012,0.0039
0.2,0.4692,1.0025,0.0012,0.005,16.4839,-4.8241,0,0.0384,0.0384,-0.0119,0,0,0.003,0.0012,0.0052
0.2,0.5013,1.0225,-0.001,0.005,16.5779,-4.8276,0,0.0422,0.0422,-0.0117,0,0,0.003,0.0012,0.0125
0.1015,1.1227,1.0425,-0.0094,-0.0043,16.6613,-4.8264,0,0.0495,0.0495,0.0345,0,0,-0.0026,-0.001,0.0195
0.2,0.9318,1.0625,-0.0178,-0.0043,16.7538,-4.8404,0,0.0464,0.0464,0.0343,0,0,-0.0026,-0.001,0.0144
0.1999,0.8281,1.0825,-0.0262,-0.0043,16.8567,-4.8507,0,0.0483,0.0483,0.0341,0,0,-0.0026,-0.001,0.0111
0.1999,0.9271,1.1025,-0.0345,-0.0043,16.9409,-4.874,0,0.0359,0.0359,0.0353,0,0,-0.0026,-0.001,0.0088
0.2,1.0259,1.1225,-0.0429,-0.0043,17.0258,-4.8903,0,0.0303,0.0303,0.0329,0,0,-0.0026,-0.001,0.0023
0.2,0.8645,1.1425,-0.0513,-0.0043,17.1136,-4.8951,0,0.0354,0.0354,0.0294,0,0,-0.0026,-0.001,-0.0053
0.1999,0.8582,1.1625,-0.0597,-0.0043,17.1911,-4.8973,0,0.0425,0.0425,0.0272,0,0,-0.0026,-0.001,-0.0129
0.1999,0.8714,1.1825,-0.068,-0.0043,17.2993,-4.9095,0,0.0433,0.0433,0.0224,0,0,-0.0026,-0.001,-0.0245
0.2,0.7686,1.2025,-0.0764,-0.0385,17.4022,-4.9209,0,0.0353,0.0353,-0.0892,0,0,-0.0232,-0.0093,-0.0334
0.2,1.0799,1.2225,-0.068,-0.0385,17.5013,-4.9461,0,0.0083,0.0083,-0.0937,0,0,-0.0232,-0.0093,-0.0413
0.1999,1.0263,1.2425,-0.0596,-0.0385,17.5903,-4.9612,0,-0.0053,-0.0053,-0.0966,0,0,-0.0232,-0.0093,-0.049
