u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0720,0.0920,0.0084,0.0378,14.1671,-4.8323,0.0000,-0.1109,-0.1109,0.0772,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.1120,0.0009,0.0378,14.1667,-4.8334,0.0000,-0.1120,-0.1120,0.0776,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.1320,-0.0067,0.0378,14.1648,-4.8335,0.0000,-0.1122,-0.1122,0.0773,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.1520,-0.0151,0.0378,14.1656,-4.8316,0.0000,-0.1103,-0.1103,0.0773,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.1720,-0.0235,0.0378,14.1675,-4.8316,0.0000,-0.1101,-0.1101,0.0773,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.1920,-0.0281,0.0378,14.1610,-4.8329,0.0000,-0.1120,-0.1120,0.0774,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2120,-0.0294,0.0378,14.1644,-4.8314,0.0000,-0.1102,-0.1102,0.0768,0.0000,0.0000,0.0228,0.0091
0.2000,0.0654,0.2320,-0.0253,0.0378,14.1667,-4.8361,0.0000,-0.1147,-0.1147,0.0770,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2520,-0.0233,0.0378,14.1640,-4.8321,0.0000,-0.1109,-0.1109,0.0765,0.0000,0.0000,0.0228,0.0091
0.2000,0.0516,0.2720,-0.0218,0.0378,14.1595,-4.8247,0.0000,-0.1039,-0.1039,0.0762,0.0000,0.0000,0.0228,0.0091
0.2000,0.0001,0.2920,-0.0191,0.0378,14.1667,-4.8304,0.0000,-0.1090,-0.1090,0.0762,0.0000,0.0000,0.0228,0.0091
0.2000,0.0845,0.3120,-0.0139,0.0378,14.1683,-4.8329,0.0000,-0.1114,-0.1114,0.0769,0.0000,0.0000,0.0228,0.0091
0.2000,0.0908,0.3320,-0.0099,0.0378,14.1666,-4.8307,0.0000,-0.1093,-0.1093,0.0769,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.3520,-0.0071,0.0378,14.1661,-4.8328,0.0000,-0.1115,-0.1115,0.0762,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.3720,-0.0047,0.0378,14.1624,-4.8334,0.0000,-0.1124,-0.1124,0.0768,0.0000,0.0000,0.0228,0.0091
0.1999,0.0001,0.3920,-0.0029,0.0378,14.1673,-4.8328,0.0000,-0.1114,-0.1114,0.0771,0.0000,0.0000,0.0228,0.0091
