u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0822,0.1022,0.0047,-0.0035,59.4942,143.3646,0.0000,-0.1145,-0.1145,0.0338,0.0000,0.0000,-0.0021,-0.0008,-0.0000
0.1998,0.0001,0.1222,0.0093,-0.0035,59.4973,143.3557,0.0000,-0.1249,-0.1249,0.0337,0.0000,0.0000,-0.0021,-0.0008,-0.0000
0.1999,0.0558,0.1422,0.0177,-0.0035,59.4908,143.3589,0.0000,-0.1207,-0.1207,0.0342,0.0000,0.0000,-0.0021,-0.0008,-0.0000
0.1999,0.0950,0.1622,0.0261,-0.0035,59.4897,143.3577,0.0000,-0.1212,-0.1212,0.0335,0.0000,0.0000,-0.0021,-0.0008,-0.0000
0.1998,0.0730,0.1822,0.0344,-0.0035,59.4923,143.3648,0.0000,-0.1145,-0.1145,0.0341,0.0000,0.0000,-0.0021,-0.0008,0.0046
0.2000,0.0001,0.2022,0.0398,-0.0035,59.4957,143.3617,0.0000,-0.1188,-0.1188,0.0337,0.0000,0.0000,-0.0021,-0.0008,0.0086
0.2000,0.0771,0.2222,0.0482,-0.0035,59.4921,143.3659,0.0000,-0.1133,-0.1133,0.0345,0.0000,0.0000,-0.0021,-0.0008,0.0145
0.2000,0.0001,0.2422,0.0523,-0.0035,59.4959,143.3612,0.0000,-0.1194,-0.1194,0.0343,0.0000,0.0000,-0.0021,-0.0008,0.0219
0.1999,0.0567,0.2622,0.0607,-0.0035,59.4972,143.3562,0.0000,-0.1234,-0.1234,0.0349,0.0000,0.0000,-0.0021,-0.0008,0.0289
0.1999,0.0594,0.2822,0.0670,-0.0035,59.4971,143.3651,0.0000,-0.1144,-0.1144,0.0351,0.0000,0.0000,-0.0021,-0.0008,0.0349
0.1999,0.0509,0.3022,0.0730,-0.0035,59.4936,143.3595,0.0000,-0.1202,-0.1202,0.0348,0.0000,0.0000,-0.0021,-0.0008,0.0413
0.2000,0.0675,0.3222,0.0814,-0.0035,59.4974,143.3589,0.0000,-0.1205,-0.1205,0.0357,0.0000,0.0000,-0.0021,-0.0008,0.0465
0.2000,0.0675,0.3422,0.0847,-0.0035,59.4936,143.3633,0.0000,-0.1161,-0.1161,0.0359,0.0000,0.0000,-0.0021,-0.0008,0.0526
0.2000,0.0575,0.3622,0.0865,-0.0035,59.5024,143.3609,0.0000,-0.1187,-0.1187,0.0357,0.0000,0.0000,-0.0021,-0.0008,0.0625
0.2000,0.0575,0.3822,0.0861,-0.0035,59.5014,143.3672,0.0000,-0.1125,-0.1125,0.0364,0.0000,0.0000,-0.0021,-0.0008,0.0690
0.2000,0.0908,0.4022,0.0882,-0.0035,59.4977,143.3596,0.0000,-0.1194,-0.1194,0.0373,0.0000,0.0000,-0.0021,-0.0008,0.0739
0.2000,0.0650,0.4222,0.0849,-0.0035,59.4927,143.3651,0.0000,-0.1142,-0.1142,0.0370,0.0000,0.0000,-0.0021,-0.0008,0.0786
0.2000,0.0831,0.4422,0.0860,-0.0035,59.4995,143.3559,0.0000,-0.1232,-0.1232,0.0372,0.0000,0.0000,-0.0021,-0.0008,0.0806
0.2000,0.0748,0.4622,0.0823,-0.0035,59.4932,143.3610,0.0000,-0.1181,-0.1181,0.0374,0.0000,0.0000,-0.0021,-0.0008,0.0805
0.2000,0.1148,0.4822,0.0801,-0.0035,59.4998,143.3613,0.0000,-0.1173,-0.1173,0.0381,0.0000,0.0000,-0.0021,-0.0008,0.0813
0.2000,0.0817,0.5022,0.0777,-0.0035,59.4976,143.3579,0.0000,-0.1212,-0.1212,0.0374,0.0000,0.0000,-0.0021,-0.0008,0.0800
0.2000,0.0654,0.5222,0.0738,-0.0035,59.4957,143.3633,0.0000,-0.1160,-0.1160,0.0372,0.0000,0.0000,-0.0021,-0.0008,0.0797
0.2000,0.0001,0.5422,0.0680,-0.0035,59.4941,143.3705,0.0000,-0.1100,-0.1100,0.0354,0.0000,0.0000,-0.0021,-0.0008,0.0784
0.2000,0.0577,0.5622,0.0640,-0.0035,59.4936,143.3566,0.0000,-0.1229,-0.1229,0.0366,0.0000,0.0000,-0.0021,-0.0008,0.0760
0.2000,0.0721,0.5822,0.0585,-0.0035,59.4875,143.3617,0.0000,-0.1174,-0.1174,0.0375,0.0000,0.0000,-0.0021,-0.0008,0.0742
0.2000,0.1382,0.6022,0.0581,-0.0035,59.5005,143.3530,0.0000,-0.1251,-0.1251,0.0385,0.0000,0.0000,-0.0021,-0.0008,0.0723
0.2000,0.0805,0.6222,0.0532,-0.0035,59.4980,143.3611,0.0000,-0.1180,-0.1180,0.0379,0.0000,0.0000,-0.0021,-0.0008,0.0682
0.1999,0.1565,0.6422,0.0483,-0.0035,59.5204,143.3547,0.0000,-0.1233,-0.1233,0.0386,0.0000,0.0000,-0.0021,-0.0008,0.0596
0.1999,0.0878,0.6622,0.0417,-0.0035,59.5305,143.3617,0.0000,-0.1177,-0.1177,0.0386,0.0000,0.0000,-0.0021,-0.0008,0.0545
0.1999,0.2311,0.6822,0.0393,-0.0035,59.5509,143.3548,0.0000,-0.1220,-0.1220,0.0408,0.0000,0.0000,-0.0021,-0.0008,0.0523
0.1999,0.1254,0.7022,0.0344,-0.0035,59.5797,143.3597,0.0000,-0.1194,-0.1194,0.0404,0.0000,0.0000,-0.0021,-0.0008,0.0498
0.1999,0.2132,0.7222,0.0368,0.0057,59.6142,143.3585,0.0000,-0.1189,-0.1189,0.0487,0.0000,0.0000,0.0034,0.0014,0.0460
0.1999,0.2909,0.7422,0.0295,0.0057,59.6523,143.3657,0.0000,-0.1098,-0.1098,0.0510,0.0000,0.0000,0.0034,0.0014,0.0416
0.1999,0.3420,0.7622,0.0217,0.0057,59.6982,143.3700,0.0000,-0.1043,-0.1043,0.0521,0.0000,0.0000,0.0034,0.0014,0.0378
0.1999,0.3855,0.7822,0.0133,0.0057,59.7369,143.3746,0.0000,-0.0986,-0.0986,0.0536,0.0000,0.0000,0.0034,0.0014,0.0341
0.1999,0.4575,0.8022,0.0049,0.0057,59.7891,143.3810,0.0000,-0.0903,-0.0903,0.0553,0.0000,0.0000,0.0034,0.0014,0.0343
0.2000,0.3861,0.8222,-0.0035,0.0057,59.8362,143.3871,0.0000,-0.0862,-0.0862,0.0553,0.0000,0.0000,0.0034,0.0014,0.0312
0.2000,0.5220,0.8422,-0.0118,0.0057,59.8922,143.3948,0.0000,-0.0751,-0.0751,0.0559,0.0000,0.0000,0.0034,0.0014,0.0266
0.2000,0.4717,0.8622,-0.0126,0.0089,59.9587,143.3995,0.0000,-0.0723,-0.0723,0.0479,0.0000,0.0000,0.0054,0.0021,0.0197
0.2000,0.5602,0.8822,-0.0178,0.0089,60.0082,143.4059,0.0000,-0.0645,-0.0645,0.0476,0.0000,0.0000,0.0054,0.0021,0.0138
0.2000,0.6608,0.9022,-0.0195,0.0089,60.0777,143.4067,0.0000,-0.0630,-0.0630,0.0446,0.0000,0.0000,0.0054,0.0021,0.0045
0.2000,0.4949,0.9222,-0.0206,0.0089,60.1575,143.4160,0.0000,-0.0585,-0.0585,0.0432,0.0000,0.0000,0.0054,0.0021,-0.0040
0.2000,0.6900,0.9422,-0.0230,0.0089,60.2164,143.4237,0.0000,-0.0481,-0.0481,0.0400,0.0000,0.0000,0.0054,0.0021,-0.0093
0.1999,0.7967,0.9622,-0.0146,0.0262,60.2897,143.4237,0.0000,-0.0473,-0.0473,0.0539,0.0000,0.0000,0.0158,0.0063,-0.0131
0.2000,0.5880,0.9822,-0.0230,0.0089,60.3656,143.4248,0.0000,-0.0517,-0.0517,0.0369,0.0000,0.0000,0.0054,0.0021,-0.0161
0.2000,0.7273,1.0022,-0.0146,0.0262,60.4392,143.4306,0.0000,-0.0429,-0.0429,0.0505,0.0000,0.0000,0.0158,0.0063,-0.0172
0.2000,0.7526,1.0222,-0.0230,0.0262,60.5248,143.4393,0.0000,-0.0338,-0.0338,0.0490,0.0000,0.0000,0.0158,0.0063,-0.0193
0.2000,0.7316,1.0422,-0.0300,0.0262,60.5988,143.4464,0.0000,-0.0278,-0.0278,0.0468,0.0000,0.0000,0.0158,0.0063,-0.0158
0.1999,0.8523,1.0622,-0.0384,0.0262,60.6900,143.4513,0.0000,-0.0200,-0.0200,0.0455,0.0000,0.0000,0.0158,0.0063,-0.0183
0.1999,0.7370,1.0822,-0.0372,0.0262,60.7763,143.4490,0.0000,-0.0255,-0.0255,0.0443,0.0000,0.0000,0.0158,0.0063,-0.0132
0.1999,0.9057,1.1022,-0.0456,0.0075,60.8464,143.4578,0.0000,-0.0190,-0.0190,-0.0041,0.0000,0.0000,0.0045,0.0018,-0.0181
0.1999,0.8572,1.1222,-0.0372,0.0075,60.9479,143.4562,0.0000,-0.0267,-0.0267,-0.0094,0.0000,0.0000,0.0045,0.0018,-0.0256
0.2000,0.6994,1.1422,-0.0289,0.0075,61.0431,143.4650,0.0000,-0.0223,-0.0223,-0.0125,0.0000,0.0000,0.0045,0.0018,-0.0326
0.1999,1.0076,1.1622,-0.0205,0.0075,61.1237,143.4732,0.0000,-0.0217,-0.0217,-0.0201,0.0000,0.0000,0.0045,0.0018,-0.0337
0.1999,0.9478,1.1822,-0.0122,0.0075,61.1970,143.4749,0.0000,-0.0243,-0.0243,-0.0250,0.0000,0.0000,0.0045,0.0018,-0.0440
0.2000,0.8019,1.2022,-0.0038,0.0288,61.2996,143.4798,0.0000,-0.0219,-0.0219,0.0290,0.0000,0.0000,0.0174,0.0069,-0.0366
0.2000,0.7270,1.2222,-0.0065,0.0288,61.3840,143.4920,0.0000,-0.0098,-0.0098,0.0303,0.0000,0.0000,0.0174,0.0069,-0.0279
0.1999,1.0186,1.2422,-0.0147,0.0288,61.4756,143.4926,0.0000,-0.0038,-0.0038,0.0295,0.0000,0.0000,0.0174,0.0069,-0.0182
0.1999,0.8445,1.2622,-0.0185,0.0288,61.5671,143.4959,0.0000,-0.0017,-0.0017,0.0322,0.0000,0.0000,0.0174,0.0069,-0.0095
0.1999,0.9084,1.2822,-0.0254,0.0288,61.6665,143.5049,0.0000,0.0096,0.0096,0.0331,0.0000,0.0000,0.0174,0.0069,-0.0024
