u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0000,0.0400,0.0000,-0.0299,4.0026,0.2147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0180,-0.0072
0.2000,0.0000,0.0800,0.0000,-0.0299,4.0026,0.2147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0180,-0.0072
0.2000,0.0200,0.1200,0.0000,-0.0299,4.0045,0.2152,0.0000,-0.0000,-0.0000,0.0000,0.0193,0.0051,-0.0180,-0.0072
0.2000,0.0400,0.1600,0.0000,-0.0299,4.0084,0.2163,0.0000,0.0000,0.0000,0.0000,0.0387,0.0103,-0.0180,-0.0072
0.2000,0.0600,0.2000,0.0000,-0.0299,4.0142,0.2178,0.0000,0.0000,0.0000,0.0000,0.0580,0.0154,-0.0180,-0.0072
0.2000,0.0800,0.2400,0.0000,-0.0299,4.0219,0.2199,0.0000,-0.0000,-0.0000,0.0000,0.0773,0.0205,-0.0180,-0.0072
0.2000,0.1000,0.2800,0.0000,-0.0299,4.0316,0.2224,0.0000,-0.0000,-0.0000,0.0000,0.0967,0.0257,-0.0180,-0.0072
0.1999,0.1200,0.3200,0.0000,-0.0299,4.0432,0.2255,0.0000,0.0000,0.0000,0.0000,0.1160,0.0308,-0.0180,-0.0072
0.1999,0.1400,0.3600,0.0000,-0.0299,4.0567,0.2291,0.0000,-0.0000,-0.0000,0.0000,0.1353,0.0359,-0.0180,-0.0072
0.1999,0.1600,0.4000,0.0000,-0.0299,4.0722,0.2332,0.0000,-0.0000,-0.0000,0.0000,0.1546,0.0410,-0.0180,-0.0072
0.2000,0.1800,0.4400,0.0000,-0.0299,4.0896,0.2378,0.0000,-0.0000,-0.0000,0.0000,0.1740,0.0462,-0.0180,-0.0072
0.2000,0.2000,0.4800,0.0000,-0.0299,4.1089,0.2429,0.0000,-0.0000,-0.0000,0.0000,0.1933,0.0513,-0.0180,-0.0072
0.2000,0.2200,0.5200,0.0000,-0.0299,4.1302,0.2486,0.0000,-0.0000,-0.0000,0.0000,0.2126,0.0564,-0.0180,-0.0072
0.2000,0.2400,0.5600,0.0000,-0.0299,4.1534,0.2547,0.0000,-0.0000,-0.0000,0.0000,0.2320,0.0616,-0.0180,-0.0072
0.2000,0.2600,0.6000,0.0000,-0.0299,4.1785,0.2614,0.0000,-0.0000,-0.0000,0.0000,0.2513,0.0667,-0.0180,-0.0072
