"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.2,0,0.04,0,-0.0299,4.0026,0.2147,0,0,0,0,0,0,-0.018,-0.0072
0.2,0.02,0.08,0,-0.0299,4.0045,0.2152,0,0,0,0,0.0193,0.0051,-0.018,-0.0072
0.2,0.04,0.12,0,-0.0299,4.0084,0.2163,0,0,0,0,0.0387,0.0103,-0.018,-0.0072
0.2,0.06,0.16,0,-0.0299,4.0142,0.2178,0,0,0,0,0.058,0.0154,-0.018,-0.0072
0.2,0.08,0.2,0,-0.0299,4.0219,0.2199,0,0,0,0,0.0773,0.0205,-0.018,-0.0072
0.2,0.1,0.24,0,-0.0299,4.0316,0.2224,0,0,0,0,0.0967,0.0257,-0.018,-0.0072
0.1999,0.12,0.28,0,-0.0299,4.0432,0.2255,0,0,0,0,0.116,0.0308,-0.018,-0.0072
0.1999,0.14,0.32,0,-0.0299,4.0567,0.2291,0,0,0,0,0.1353,0.0359,-0.018,-0.0072
0.1999,0.16,0.36,0,-0.0299,4.0722,0.2332,0,0,0,0,0.1546,0.041,-0.018,-0.0072
0.1999,0.18,0.4,0,-0.0299,4.0896,0.2378,0,0,0,0,0.174,0.0462,-0.018,-0.0072
0.2,0.2,0.44,0,-0.0299,4.1089,0.2429,0,0,0,0,0.1933,0.0513,-0.018,-0.0072
0.2,0.22,0.48,0,-0.0299,4.1302,0.2486,0,0,0,0,0.2126,0.0564,-0.018,-0.0072
0.2,0.24,0.52,0,-0.0299,4.1534,0.2547,0,0,0,0,0.232,0.0616,-0.018,-0.0072
0.2,0.26,0.56,0,-0.0299,4.1785,0.2614,0,0,0,0,0.2513,0.0667,-0.018,-0.0072
0.1999,0.28,0.6,0,-0.0299,4.2056,0.2686,0,0,0,0,0.2706,0.0718,-0.018,-0.0072
0.1298,0.3,0.613,0,-0.0299,4.2346,0.2763,0,0,0,0,0.2899,0.0769,-0.018,-0.0072
0.1999,0.313,0.624,0,-0.0299,4.2648,0.2843,0,0,0,0,0.3025,0.0803,-0.018,-0.0072
0.1998,0.333,0.6334,0,-0.0299,4.297,0.2929,0,0,0,0,0.3218,0.0854,-0.018,-0.0072
0.1999,0.3529,0.6414,0,-0.0299,4.3311,0.3019,0,0,0,0,0.3411,0.0905,-0.018,-0.0072
0.2,0.3729,0.6482,0,-0.0299,4.3672,0.3115,0,0,0,0,0.3604,0.0957,-0.018,-0.0072
0.2001,0.3929,0.654,0,-0.0299,4.4051,0.3216,0,0,0,0,0.3798,0.1008,-0.018,-0.0072
0.2001,0.4129,0.6589,0,-0.0299,4.445,0.3321,0,0,0,0,0.3991,0.1059,-0.018,-0.0072
0.2,0.4329,0.663,0,-0.0299,4.4869,0.3433,0,0,0,0,0.4185,0.111,-0.018,-0.0072
0.2,0.4529,0.6666,-0.0041,-0.0274,4.5307,0.3549,0,0.0011,0.0011,0.025,0.4378,0.1162,-0.0165,-0.0066
0.2,0.4729,0.6696,-0.0108,-0.0274,4.5764,0.367,0,0.0022,0.0022,0.0249,0.4571,0.1213,-0.0165,-0.0066
0.2,0.4929,0.6721,-0.0175,-0.0274,4.624,0.3796,0,0.0035,0.0035,0.0246,0.4765,0.1262,-0.0165,-0.0066
0.2,0.5129,0.6743,-0.0241,-0.0274,4.6736,0.3927,0,0.0047,0.0047,0.024,0.4959,0.1311,-0.0165,-0.0066
