u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,0.0001,0.0201,0.0084,0.3481,29.1386,-5.8782,0.0000,0.2031,0.2031,-0.0381,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.0401,0.0168,0.3481,29.1343,-5.8767,0.0000,0.2038,0.2038,-0.0387,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.0601,0.0252,0.3481,29.1348,-5.8769,0.0000,0.2037,0.2037,-0.0386,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.0801,0.0328,0.3481,29.1340,-5.8820,0.0000,0.1985,0.1985,-0.0384,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.1001,0.0401,0.3481,29.1350,-5.8798,0.0000,0.2009,0.2009,-0.0381,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0506,0.1201,0.0484,0.3481,29.1394,-5.8814,0.0000,0.1992,0.1992,-0.0384,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.1401,0.0560,0.3481,29.1381,-5.8773,0.0000,0.2039,0.2039,-0.0384,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.1601,0.0644,0.3481,29.1384,-5.8815,0.0000,0.1998,0.1998,-0.0388,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.1801,0.0728,0.3481,29.1463,-5.8808,0.0000,0.2020,0.2020,-0.0393,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.2001,0.0812,0.3481,29.1438,-5.8780,0.0000,0.2043,0.2043,-0.0394,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0783,0.2201,0.0890,0.3481,29.1439,-5.8773,0.0000,0.2034,0.2034,-0.0401,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0001,0.2401,0.0965,0.3481,29.1420,-5.8784,0.0000,0.2036,0.2036,-0.0401,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0001,0.2601,0.1039,0.3481,29.1433,-5.8761,0.0000,0.2060,0.2060,-0.0401,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.2801,0.1121,0.3481,29.1446,-5.8782,0.0000,0.2042,0.2042,-0.0404,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.3001,0.1203,0.3481,29.1472,-5.8799,0.0000,0.2030,0.2030,-0.0409,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.3201,0.1287,0.3481,29.1470,-5.8799,0.0000,0.2030,0.2030,-0.0408,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.3401,0.1371,0.3481,29.1466,-5.8779,0.0000,0.2049,0.2049,-0.0415,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.3601,0.1455,0.3481,29.1499,-5.8783,0.0000,0.2052,0.2052,-0.0422,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.3801,0.1536,0.3481,29.1519,-5.8779,0.0000,0.2059,0.2059,-0.0421,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.4001,0.1617,0.3481,29.1563,-5.8768,0.0000,0.2078,0.2078,-0.0427,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.4201,0.1698,0.3481,29.1487,-5.8830,0.0000,0.2002,0.2002,-0.0429,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.4401,0.1782,0.3481,29.1445,-5.8792,0.0000,0.2033,0.2033,-0.0428,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0984,0.4601,0.1866,0.3481,29.1452,-5.8787,0.0000,0.2018,0.2018,-0.0425,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0565,0.4801,0.1948,0.3481,29.1440,-5.8771,0.0000,0.2040,0.2040,-0.0420,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.5001,0.2030,0.3481,29.1442,-5.8771,0.0000,0.2053,0.2053,-0.0420,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.5201,0.2111,0.3481,29.1459,-5.8766,0.0000,0.2061,0.2061,-0.0418,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.5401,0.2195,0.3481,29.1440,-5.8773,0.0000,0.2050,0.2050,-0.0419,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.5601,0.2279,0.3481,29.1405,-5.8798,0.0000,0.2019,0.2019,-0.0419,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.5801,0.2319,0.3481,29.1370,-5.8777,0.0000,0.2033,0.2033,-0.0419,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.6001,0.2354,0.3481,29.1353,-5.8791,0.0000,0.2016,0.2016,-0.0421,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.6201,0.2378,0.3481,29.1329,-5.8807,0.0000,0.1996,0.1996,-0.0414,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.6401,0.2384,0.3481,29.1385,-5.8803,0.0000,0.2010,0.2010,-0.0404,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.6601,0.2386,0.3481,29.1402,-5.8772,0.0000,0.2044,0.2044,-0.0397,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0578,0.6801,0.2408,0.3481,29.1369,-5.8755,0.0000,0.2043,0.2043,-0.0395,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.7001,0.2431,0.3481,29.1328,-5.8779,0.0000,0.2023,0.2023,-0.0395,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.7201,0.2448,0.3481,29.1345,-5.8778,0.0000,0.2028,0.2028,-0.0396,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.7401,0.2473,0.3481,29.1295,-5.8814,0.0000,0.1983,0.1983,-0.0391,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0591,0.7601,0.2484,0.3481,29.1279,-5.8789,0.0000,0.1992,0.1992,-0.0390,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0591,0.7801,0.2508,0.3481,29.1269,-5.8781,0.0000,0.1999,0.1999,-0.0387,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.8000,0.2506,0.3481,29.1296,-5.8780,0.0000,0.2016,0.2016,-0.0390,0.0000,0.0000,0.2186,0.0872,0.0000
0.2000,0.0001,0.8000,0.2501,0.3481,29.1310,-5.8768,0.0000,0.2031,0.2031,-0.0388,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0001,0.8000,0.2492,0.3481,29.1312,-5.8732,0.0000,0.2066,0.2066,-0.0394,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0001,0.8000,0.2483,0.3481,29.1364,-5.8750,0.0000,0.2059,0.2059,-0.0381,0.0000,0.0000,0.2186,0.0872,0.0000
0.1999,0.0001,0.8000,0.2498,0.3481,29.1313,-5.8774,0.0000,0.2025,0.2025,-0.0388,0.0000,0.0000,0.2186,0.0872,0.0000
