timestamp(ns),tx,ty,tz,qw,qx,qy,qz,Pr11,Pr12,Pr13,Pr22,Pr23,Pr33,Pt11,Pt12,Pt13,Pt22,Pt23,Pt33
1784079528623960576,-0.001585685,-0.002196064,0.000639154,0.000259794,-0.026037087,-0.018864937,0.999482925,0.0000054822,0.0000007767,-0.0000205476,0.0000049746,-0.0000148956,0.0003984558,0.0026568705,-0.0000000058,0.0000001277,0.0026544625,0.0000000074,0.0026523097
1784079528690440448,-0.002869213,-0.017888582,0.001541243,0.000121598,-0.026365908,-0.018913966,0.999473404,0.0000054887,0.0000007841,-0.0000208007,0.0000049697,-0.0000148339,0.0003984416,0.0026611790,-0.0000039379,0.0000333214,0.0025870453,-0.0000010697,0.0025958077
1784079528757290240,-0.006601951,-0.019508052,0.002863724,0.000031885,0.026184784,0.019126794,-0.999474123,0.0000054726,0.0000007929,-0.0000206624,0.0000049924,-0.0000150961,0.0003984447,0.0026766745,-0.0000054156,0.0000448493,0.0025759756,-0.0000016993,0.0025894172
1784079528823898624,-0.009862199,-0.020974170,0.001359550,0.000291175,0.026243383,0.019094651,-0.999473158,0.0000054805,0.0000007936,-0.0000207191,0.0000049937,-0.0000150669,0.0003984499,0.0026943344,-0.0000067995,0.0000537256,0.0025746649,-0.0000023570,0.0025900806
1784079528890366464,-0.015293510,-0.021250353,0.002704640,0.000564304,0.026390841,0.018560141,-0.999479228,0.0000054952,0.0000007759,-0.0000208355,0.0000049657,-0.0000146460,0.0003984786,0.0027126527,-0.0000083122,0.0000636340,0.0025724220,-0.0000031323,0.0025895268
1784079528957224448,-0.023530536,-0.022507420,0.002742276,0.001002716,0.025761191,0.018407114,-0.999498141,0.0000054488,0.0000007507,-0.0000203483,0.0000049601,-0.0000145108,0.0003985494,0.0027338917,-0.0000092298,0.0000701701,0.0025792153,-0.0000034505,0.0025979310
1784079529023822592,-0.033223654,-0.024081999,0.002960798,0.001693241,0.026271642,0.018372530,-0.999484559,0.0000054970,0.0000007637,-0.0000207601,0.0000049617,-0.0000144680,0.0003985193,0.0027561744,-0.0000102156,0.0000769975,0.0025864266,-0.0000037822,0.0026067380
1784079529090325248,-0.045795962,-0.026176750,0.003282502,0.002445087,0.026083414,0.017867156,-0.999497094,0.0000054879,0.0000007370,-0.0000206230,0.0000049369,-0.0000140549,0.0003985741,0.0027795541,-0.0000112918,0.0000841343,0.0025941761,-0.0000041282,0.0026159859
1784079529157140480,-0.061088795,-0.028911419,0.003456441,0.003462289,0.025886836,0.017583824,-0.999504224,0.0000054789,0.0000007193,-0.0000204826,0.0000049251,-0.0000138116,0.0003986167,0.0028042081,-0.0000124801,0.0000916253,0.0026026112,-0.0000044905,0.0026257540
1784079529223752448,-0.079354167,-0.032658624,0.003342772,0.004751489,0.026203687,0.017384529,-0.999494156,0.0000055130,0.0000007190,-0.0000207495,0.0000049181,-0.0000136264,0.0003986126,0.0028299892,-0.0000138076,0.0000994131,0.0026118110,-0.0000048660,0.0026359910
