x,y,z
0.116,-0.013,0.063
0.371,-0.023,0.058
0.634,0.037,0.061
0.908,0.113,0.064
1.158,0.153,0.064
1.418,0.224,0.052
1.668,0.267,0.068
1.920,0.304,0.060
2.177,0.371,0.070
2.424,0.426,0.072
2.672,0.496,0.077
2.940,0.528,0.054
3.209,0.549,0.043
3.460,0.538,0.033
3.709,0.564,0.034
3.992,0.542,0.025
4.253,0.517,0.047
4.526,0.534,0.055
4.805,0.531,0.076
5.079,0.551,0.057
5.334,0.559,0.069
5.639,0.574,0.068
5.932,0.561,0.061
6.193,0.565,0.070
6.451,0.557,0.054
6.741,0.578,0.050
7.003,0.568,0.060
7.259,0.576,0.046
7.556,0.596,0.044
7.819,0.593,0.046
8.087,0.600,0.050
8.344,0.592,0.045
8.601,0.588,0.059
8.883,0.575,0.060
9.178,0.571,0.061
9.476,0.593,0.066
9.769,0.621,0.070
10.071,0.599,0.065
10.354,0.598,0.066
10.672,0.588,0.081
10.961,0.607,0.076
11.215,0.649,0.076
11.469,0.658,0.078
11.759,0.666,0.085
12.044,0.667,0.103
12.337,0.652,0.106
12.607,0.623,0.100
12.862,0.621,0.088
13.128,0.619,0.091
13.415,0.647,0.090
13.693,0.677,0.114
13.953,0.707,0.106
14.219,0.723,0.099
14.498,0.718,0.107
14.762,0.738,0.107
15.020,0.734,0.087
15.284,0.748,0.078
15.574,0.754,0.090
15.845,0.760,0.081
16.115,0.732,0.100
16.391,0.740,0.102
16.669,0.766,0.108
16.935,0.801,0.108
17.238,0.784,0.111
17.549,0.825,0.109
17.844,0.792,0.116
18.102,0.741,0.091
18.375,0.738,0.112
18.675,0.687,0.139
18.933,0.672,0.133
19.218,0.689,0.139
19.496,0.678,0.142
19.793,0.650,0.160
20.079,0.642,0.152
20.345,0.633,0.163
20.611,0.622,0.169
20.887,0.621,0.143
21.143,0.630,0.125
21.425,0.626,0.145
21.716,0.595,0.166
22.027,0.576,0.182
22.289,0.550,0.185
22.588,0.540,0.145
22.873,0.551,0.160
23.183,0.550,0.162
23.455,0.538,0.154
23.736,0.526,0.168
24.012,0.532,0.161
24.279,0.542,0.165
24.579,0.545,0.162
24.841,0.558,0.154
25.110,0.503,0.171
25.366,0.471,0.159
25.620,0.458,0.171
25.892,0.447,0.180
26.158,0.410,0.177
26.418,0.354,0.176
26.712,0.316,0.183
