"x","y"
-0.046,0.025
-0.001,-0.519
0.101,-1.082
0.199,-1.645
0.273,-2.224
0.333,-2.76
0.368,-3.272
0.413,-3.791
0.464,-4.291
0.527,-4.821
0.594,-5.4
0.662,-5.924
0.727,-6.509
0.8,-7.094
0.879,-7.653
0.943,-8.208
1.021,-8.767
1.103,-9.306
1.178,-9.843
1.257,-10.38
1.336,-10.885
1.426,-11.476
1.508,-12.023
1.594,-12.567
1.677,-13.124
1.773,-13.677
1.867,-14.233
1.96,-14.777
2.061,-15.328
2.158,-15.852
2.254,-16.371
2.351,-16.877
2.454,-17.455
2.547,-17.957
2.642,-18.465
2.741,-18.973
2.841,-19.465
2.928,-19.984
3.001,-20.499
3.078,-21.06
3.125,-21.624
3.164,-22.213
3.213,-22.767
3.269,-23.335
3.321,-23.882
3.367,-24.441
3.422,-25.027
3.464,-25.619
3.518,-26.209
3.569,-26.805
3.619,-27.307
3.665,-27.884
3.705,-28.461
3.752,-29.05
3.794,-29.555
3.845,-30.139
3.892,-30.732
3.931,-31.234
3.965,-31.754
4.016,-32.311
4.064,-32.844
4.124,-33.383
4.172,-33.93
4.232,-34.479
4.274,-35.037
4.317,-35.62
4.346,-36.183
4.379,-36.753
4.418,-37.302
4.464,-37.858
4.512,-38.422
4.556,-38.973
4.607,-39.535
4.654,-40.117
4.698,-40.677
4.744,-41.212
4.788,-41.729
4.827,-42.231
4.886,-42.737
4.934,-43.248
4.991,-43.837
5.045,-44.336
5.101,-44.835
5.178,-45.414
5.232,-45.926
5.288,-46.498
5.348,-47.002
5.407,-47.59
5.461,-48.141
5.519,-48.71
5.581,-49.233
5.638,-49.77
5.692,-50.287
5.746,-50.861
5.803,-51.367
5.869,-51.938
5.926,-52.516
5.977,-53.082
6.023,-53.583
6.079,-54.098
6.146,-54.623
6.225,-55.209
6.277,-55.711
6.342,-56.216
6.437,-56.715
6.525,-57.239
6.624,-57.786
6.755,-58.346
6.884,-58.909
7.033,-59.444
7.225,-59.995
7.399,-60.469
7.647,-61.028
7.881,-61.593
8.166,-62.112
8.469,-62.63
8.806,-63.135
9.145,-63.631
9.519,-64.092
9.921,-64.557
10.27,-64.919
10.718,-65.348
11.192,-65.742
11.605,-66.029
12.11,-66.363
12.628,-66.693
13.185,-66.932
13.74,-67.198
14.311,-67.391
14.868,-67.554
15.459,-67.682
16.038,-67.782
16.624,-67.821
17.234,-67.892
17.804,-67.949
18.389,-67.975
18.972,-67.983
19.557,-67.984
20.168,-67.945
20.671,-67.922
21.175,-67.882
21.687,-67.848
22.21,-67.788
22.751,-67.756
23.282,-67.694
23.804,-67.655
24.418,-67.604
24.916,-67.543
25.514,-67.477
26.131,-67.412
26.637,-67.365
27.237,-67.298
27.758,-67.238
28.377,-67.163
28.98,-67.071
29.594,-66.995
30.199,-66.917
30.791,-66.832
31.369,-66.756
31.957,-66.694
32.549,-66.629
33.146,-66.561
33.739,-66.478
34.344,-66.408
34.934,-66.344
35.516,-66.269
36.106,-66.21
36.72,-66.146
37.316,-66.083
37.922,-66.015
38.534,-65.95
39.127,-65.884
39.726,-65.818
40.341,-65.779
40.944,-65.698
41.536,-65.636
42.131,-65.587
42.723,-65.509
43.289,-65.425
43.876,-65.374
44.456,-65.312
45.042,-65.234
45.634,-65.161
46.226,-65.094
46.816,-65.028
47.385,-64.965
47.98,-64.901
48.564,-64.844
49.148,-64.781
49.754,-64.725
50.338,-64.651
50.924,-64.598
51.516,-64.553
52.101,-64.49
52.693,-64.44
53.281,-64.398
53.881,-64.346
54.46,-64.287
55.052,-64.234
55.667,-64.182
56.261,-64.128
56.858,-64.065
57.425,-64.014
58.043,-63.963
58.654,-63.898
59.261,-63.844
59.861,-63.794
60.47,-63.744
61.082,-63.688
61.697,-63.634
62.305,-63.582
62.909,-63.537
63.53,-63.478
64.123,-63.428
64.73,-63.384
65.321,-63.334
65.916,-63.284
66.491,-63.229
67.066,-63.169
67.65,-63.12
68.198,-63.064
68.775,-63.007
69.327,-62.952
69.919,-62.892
70.492,-62.836
71.094,-62.777
71.647,-62.719
72.192,-62.674
72.77,-62.617
73.351,-62.555
73.942,-62.489
74.441,-62.45
74.943,-62.392
75.444,-62.316
75.952,-62.273
76.471,-62.252
76.982,-62.199
77.592,-62.149
78.198,-62.088
78.804,-62.027
79.312,-61.973
79.92,-61.911
80.503,-61.849
81.064,-61.79
81.617,-61.728
82.175,-61.665
82.735,-61.597
83.287,-61.534
83.851,-61.461
84.413,-61.393
84.965,-61.329
85.527,-61.256
86.12,-61.183
86.715,-61.109
87.289,-61.039
87.886,-60.975
88.492,-60.908
89.098,-60.843
89.69,-60.782
90.291,-60.72
90.882,-60.656
91.478,-60.599
92.061,-60.545
92.667,-60.497
93.264,-60.442
93.878,-60.4
94.466,-60.363
95.05,-60.316
95.632,-60.279
96.222,-60.24
96.812,-60.187
97.388,-60.141
97.983,-60.101
98.579,-60.059
99.164,-60.024
99.745,-59.992
100.341,-59.959
100.936,-59.934
101.534,-59.908
102.13,-59.87
102.709,-59.878
103.3,-59.854
103.891,-59.805
104.406,-59.826
105.023,-59.804
105.636,-59.784
106.253,-59.776
106.865,-59.762
107.484,-59.757
108.099,-59.757
108.71,-59.757
109.304,-59.766
109.912,-59.771
110.521,-59.777
111.145,-59.785
111.751,-59.791
112.377,-59.801
112.986,-59.81
113.596,-59.836
114.099,-59.851
114.694,-59.875
115.199,-59.91
115.702,-59.937
116.323,-59.964
116.84,-59.988
117.351,-60.02
117.874,-60.047
118.387,-60.09
118.905,-60.14
119.426,-60.187
119.936,-60.233
120.451,-60.282
120.965,-60.331
121.578,-60.389
122.086,-60.463
122.708,-60.525
123.227,-60.594
123.756,-60.652
124.275,-60.725
124.799,-60.819
125.322,-60.887
125.843,-60.955
126.361,-61.029
126.874,-61.101
127.394,-61.173
127.922,-61.251
128.425,-61.341
128.955,-61.417
129.472,-61.507
130.01,-61.587
130.539,-61.646
131.031,-61.741
131.543,-61.816
132.068,-61.882
132.585,-61.965
133.099,-62.024
133.63,-62.107
134.171,-62.205
134.709,-62.293
135.253,-62.398
135.801,-62.487
136.34,-62.595
136.888,-62.703
137.436,-62.786
137.987,-62.88
138.502,-62.983
139.048,-63.059
139.578,-63.166
140.092,-63.268
140.624,-63.363
141.159,-63.459
141.696,-63.541
142.255,-63.637
142.815,-63.745
143.38,-63.822
143.935,-63.9
144.503,-64.003
145.062,-64.063
145.644,-64.183
146.232,-64.259
146.825,-64.368
147.405,-64.472
147.982,-64.562
