"x","y"
67.869,-58.156
67.33,-58.253
66.787,-58.404
66.243,-58.589
65.676,-58.803
65.173,-58.997
64.594,-59.239
64.038,-59.463
63.546,-59.665
63.066,-59.828
62.591,-59.989
62.041,-60.164
61.475,-60.34
60.885,-60.517
60.311,-60.682
59.69,-60.836
59.079,-60.948
58.446,-61.069
57.936,-61.17
57.326,-61.249
56.776,-61.31
56.253,-61.341
55.725,-61.366
55.139,-61.378
54.535,-61.368
53.942,-61.376
53.361,-61.388
52.789,-61.41
52.186,-61.449
51.533,-61.494
50.893,-61.548
50.274,-61.606
49.679,-61.667
49.058,-61.711
48.419,-61.759
47.758,-61.812
47.081,-61.869
46.438,-61.93
45.762,-61.99
45.058,-62.046
44.314,-62.101
43.595,-62.16
42.874,-62.2
42.171,-62.253
41.489,-62.301
40.823,-62.36
40.154,-62.411
39.511,-62.469
38.837,-62.522
38.17,-62.566
37.503,-62.605
36.817,-62.645
36.153,-62.686
35.487,-62.732
34.826,-62.762
34.198,-62.804
33.585,-62.844
33.025,-62.891
32.521,-62.947
31.855,-63
31.234,-63.059
30.566,-63.118
29.912,-63.18
29.414,-63.232
28.772,-63.294
28.137,-63.327
27.502,-63.43
26.861,-63.505
26.353,-63.551
25.728,-63.604
25.163,-63.668
24.659,-63.71
24.139,-63.768
23.609,-63.795
23.091,-63.823
22.512,-63.861
21.923,-63.89
21.329,-63.927
20.723,-63.953
20.2,-63.971
19.68,-63.967
19.154,-63.962
18.632,-63.919
18.018,-63.9
17.479,-63.838
16.952,-63.783
16.444,-63.682
15.944,-63.539
15.439,-63.374
14.928,-63.21
14.41,-63.001
13.865,-62.788
13.34,-62.513
12.842,-62.208
12.335,-61.851
11.896,-61.462
11.487,-61.054
11.073,-60.667
10.751,-60.19
10.444,-59.705
10.137,-59.192
9.865,-58.685
9.593,-58.142
9.368,-57.587
9.14,-57.013
8.941,-56.381
8.802,-55.892
8.651,-55.252
8.524,-54.626
8.407,-54.003
8.308,-53.353
8.215,-52.851
8.128,-52.307
8.042,-51.73
7.957,-51.14
7.885,-50.554
7.812,-49.931
7.747,-49.275
7.684,-48.564
7.597,-47.823
7.537,-47.311
7.469,-46.767
7.408,-46.217
7.345,-45.629
7.281,-45.048
7.233,-44.486
7.169,-43.927
7.106,-43.376
7.057,-42.842
7.014,-42.34
6.966,-41.637
6.914,-40.957
6.871,-40.321
6.828,-39.691
6.78,-39.033
6.722,-38.321
6.689,-37.817
6.64,-37.304
6.606,-36.801
6.567,-36.293
6.523,-35.761
6.486,-35.259
6.438,-34.751
6.386,-34.241
6.346,-33.731
6.291,-33.22
6.244,-32.713
6.195,-32.197
6.149,-31.695
6.098,-31.186
6.039,-30.676
5.983,-30.155
5.931,-29.639
5.878,-29.134
5.827,-28.633
5.777,-28.133
5.709,-27.387
5.658,-26.872
5.614,-26.362
5.579,-25.854
5.526,-25.343
5.483,-24.832
5.436,-24.316
5.362,-23.569
5.32,-23.052
5.272,-22.536
5.211,-21.993
5.159,-21.463
5.12,-20.924
5.063,-20.383
5.006,-19.858
4.949,-19.315
4.893,-18.769
4.83,-18.231
4.765,-17.7
4.7,-17.166
4.644,-16.635
4.582,-16.101
4.515,-15.569
4.455,-15.052
4.398,-14.521
4.349,-14.013
4.289,-13.501
4.215,-12.759
4.137,-12.044
4.092,-11.355
4.074,-10.724
4.052,-10.127
4.087,-9.537
4.139,-8.939
4.262,-8.332
4.434,-7.753
4.679,-7.181
4.961,-6.683
5.262,-6.235
5.604,-5.824
5.954,-5.449
6.35,-5.112
6.92,-4.768
7.495,-4.475
7.989,-4.281
8.561,-4.079
9.139,-3.965
9.671,-3.907
10.205,-3.804
10.719,-3.701
