x,y,z
49.219,138.872,6.667
49.633,139.206,6.696
50.010,139.550,6.743
50.339,139.943,6.745
50.667,140.336,6.775
51.003,140.729,6.829
51.383,141.088,6.856
51.851,141.453,6.882
52.308,141.803,6.918
52.751,142.116,6.951
53.195,142.411,6.976
53.700,142.676,7.010
54.188,142.878,7.031
54.732,143.046,7.042
55.295,143.152,7.050
55.869,143.252,7.063
56.469,143.330,7.075
57.062,143.392,7.091
57.652,143.431,7.098
58.260,143.455,7.121
58.871,143.472,7.120
59.511,143.482,7.125
60.137,143.485,7.123
60.791,143.493,7.126
61.292,143.489,7.134
61.808,143.517,7.133
62.358,143.498,7.158
62.924,143.495,7.156
63.522,143.493,7.158
64.140,143.504,7.159
64.762,143.525,7.174
65.382,143.565,7.191
66.016,143.600,7.210
66.671,143.640,7.217
67.384,143.739,7.202
68.095,143.799,7.206
68.829,143.849,7.192
69.533,143.860,7.224
70.036,143.897,7.205
70.790,143.929,7.195
71.513,144.026,7.190
72.234,144.080,7.186
72.741,144.126,7.203
73.244,144.173,7.187
73.788,144.204,7.169
74.358,144.265,7.187
74.934,144.305,7.202
75.522,144.350,7.208
76.122,144.391,7.221
76.731,144.436,7.221
77.330,144.468,7.234
77.937,144.509,7.225
78.551,144.547,7.244
79.147,144.588,7.248
79.751,144.627,7.275
80.344,144.662,7.292
80.930,144.711,7.290
81.503,144.750,7.288
82.090,144.796,7.286
82.692,144.844,7.288
83.277,144.916,7.301
83.864,144.976,7.311
84.461,145.047,7.317
85.030,145.115,7.344
85.614,145.173,7.346
86.217,145.244,7.371
86.785,145.317,7.364
87.364,145.388,7.375
87.932,145.464,7.402
88.523,145.554,7.412
89.098,145.643,7.444
89.704,145.715,7.449
90.266,145.807,7.431
90.851,145.900,7.465
91.443,145.986,7.481
92.028,146.076,7.506
92.623,146.164,7.537
93.192,146.263,7.540
93.765,146.349,7.538
94.358,146.440,7.551
94.950,146.537,7.557
95.529,146.624,7.568
96.115,146.721,7.585
96.695,146.820,7.605
97.273,146.929,7.612
97.853,147.044,7.634
98.453,147.162,7.650
99.043,147.288,7.667
99.638,147.418,7.686
100.264,147.538,7.693
100.857,147.672,7.707
101.453,147.802,7.718
102.037,147.943,7.750
102.628,148.085,7.772
103.224,148.234,7.782
103.801,148.391,7.824
104.383,148.545,7.830
104.963,148.701,7.869
105.550,148.854,7.901
106.121,149.007,7.913
106.708,149.177,7.936
107.280,149.337,7.977
107.882,149.494,7.991
108.452,149.668,8.002
109.039,149.820,8.030
109.613,149.993,8.046
110.183,150.139,8.077
110.717,150.294,8.100
111.266,150.442,8.127
111.799,150.588,8.174
112.356,150.740,8.157
112.887,150.853,8.166
113.456,151.009,8.186
113.982,151.125,8.223
114.529,151.241,8.234
115.087,151.391,8.229
115.634,151.500,8.271
116.181,151.637,8.265
116.705,151.794,8.294
117.229,151.943,8.323
117.719,152.082,8.349
118.229,152.213,8.361
118.722,152.339,8.376
119.208,152.464,8.393
119.913,152.651,8.413
120.630,152.865,8.452
121.125,153.007,8.473
121.629,153.154,8.495
122.138,153.305,8.521
122.629,153.442,8.544
123.133,153.579,8.562
123.615,153.720,8.594
124.301,153.920,8.619
124.956,154.100,8.655
125.555,154.275,8.679
126.126,154.434,8.723
126.636,154.580,8.750
127.130,154.711,8.773
127.749,154.889,8.801
128.309,155.040,8.836
128.792,155.182,8.863
129.296,155.319,8.923
129.824,155.473,8.925
130.322,155.624,8.951
130.843,155.762,8.967
131.346,155.891,8.989
131.834,156.010,9.025
132.325,156.126,9.044
132.956,156.270,9.065
133.543,156.406,9.108
134.154,156.545,9.129
134.746,156.677,9.160
135.379,156.822,9.201
135.870,156.928,9.240
136.364,157.046,9.257
136.870,157.148,9.277
137.376,157.265,9.288
137.878,157.378,9.312
138.411,157.494,9.338
138.973,157.632,9.379
139.587,157.769,9.411
140.190,157.903,9.444
140.775,158.046,9.476
141.350,158.188,9.504
141.929,158.337,9.535
142.570,158.512,9.564
143.267,158.691,9.607
143.991,158.874,9.647
144.709,159.058,9.686
145.196,159.191,9.710
145.688,159.324,9.740
146.188,159.457,9.768
146.675,159.607,9.803
147.208,159.731,9.856
147.733,159.874,9.883
148.267,160.023,9.917
148.805,160.154,9.954
149.347,160.302,9.985
149.874,160.447,10.017
150.408,160.589,10.066
150.956,160.737,10.109
151.523,160.885,10.129
152.098,161.037,10.181
152.654,161.193,10.218
153.228,161.344,10.249
153.802,161.500,10.297
154.370,161.656,10.325
154.930,161.814,10.385
155.482,161.970,10.441
156.044,162.124,10.455
156.625,162.283,10.472
157.206,162.442,10.571
157.787,162.601,10.636
158.379,162.768,10.669
158.930,162.914,10.700
159.484,163.064,10.722
160.002,163.190,10.795
160.543,163.303,10.815
161.113,163.457,10.863
161.726,163.640,10.914
162.342,163.790,10.940
162.934,163.912,10.976
163.552,164.085,11.024
164.143,164.236,11.083
164.739,164.401,11.122
165.360,164.554,11.172
165.974,164.697,11.221
166.580,164.851,11.271
167.190,165.002,11.315
167.802,165.147,11.361
168.411,165.285,11.400
169.009,165.432,11.439
169.634,165.571,11.492
170.244,165.733,11.549
170.869,165.884,11.599
171.473,166.028,11.643
172.109,166.184,11.681
172.724,166.341,11.726
173.338,166.487,11.779
173.962,166.630,11.828
174.582,166.788,11.883
175.181,166.923,11.932
175.776,167.059,11.985
176.377,167.200,12.035
176.992,167.322,12.083
177.602,167.459,12.129
178.200,167.593,12.185
178.806,167.743,12.226
179.401,167.873,12.271
180.026,168.008,12.316
180.642,168.121,12.364
181.246,168.233,12.417
181.872,168.336,12.463
182.497,168.434,12.508
183.149,168.534,12.554
183.798,168.631,12.604
184.440,168.723,12.640
185.107,168.789,12.672
185.774,168.853,12.717
186.437,168.908,12.755
187.087,168.938,12.800
187.769,168.961,12.847
188.449,168.985,12.894
189.131,168.977,12.925
189.842,168.966,12.972
190.519,168.958,12.997
191.206,168.922,13.029
191.891,168.878,13.099
192.585,168.832,13.021
