x,y
49.219,138.872
49.633,139.206
50.01,139.55
50.339,139.943
50.667,140.336
51.003,140.729
51.383,141.088
51.851,141.453
52.308,141.803
52.751,142.116
53.195,142.411
53.7,142.676
54.188,142.878
54.732,143.046
55.295,143.152
55.869,143.252
56.469,143.33
57.062,143.392
57.652,143.431
58.26,143.455
58.871,143.472
59.511,143.482
60.137,143.485
60.791,143.493
61.292,143.489
61.808,143.517
62.358,143.498
62.924,143.495
63.522,143.493
64.14,143.504
64.762,143.525
65.382,143.565
66.016,143.6
66.671,143.64
67.384,143.739
68.095,143.799
68.829,143.849
69.533,143.86
70.036,143.897
70.79,143.929
71.513,144.026
72.234,144.08
72.741,144.126
73.244,144.173
73.788,144.204
74.358,144.265
74.934,144.305
75.522,144.35
76.122,144.391
76.731,144.436
77.33,144.468
77.937,144.509
78.551,144.547
79.147,144.588
79.751,144.627
80.344,144.662
80.93,144.711
81.503,144.75
82.09,144.796
82.692,144.844
83.277,144.916
83.864,144.976
84.461,145.047
85.03,145.115
85.614,145.173
86.217,145.244
86.785,145.317
87.364,145.388
87.932,145.464
88.523,145.554
89.098,145.643
89.704,145.715
90.266,145.807
90.851,145.9
91.443,145.986
92.028,146.076
92.623,146.164
93.192,146.263
93.765,146.349
94.358,146.44
94.95,146.537
95.529,146.624
96.115,146.721
96.695,146.82
97.273,146.929
97.853,147.044
98.453,147.162
99.043,147.288
99.638,147.418
100.264,147.538
100.857,147.672
101.453,147.802
102.037,147.943
102.628,148.085
103.224,148.234
103.801,148.391
104.383,148.545
104.963,148.701
105.55,148.854
106.121,149.007
106.708,149.177
107.28,149.337
107.882,149.494
108.452,149.668
109.039,149.82
109.613,149.993
110.183,150.139
110.717,150.294
111.266,150.442
111.799,150.588
112.356,150.74
112.887,150.853
113.456,151.009
113.982,151.125
114.529,151.241
115.087,151.391
115.634,151.5
116.181,151.637
116.705,151.794
117.229,151.943
117.719,152.082
118.229,152.213
118.722,152.339
119.208,152.464
119.913,152.651
120.63,152.865
121.125,153.007
121.629,153.154
122.138,153.305
122.629,153.442
123.133,153.579
123.615,153.72
124.301,153.92
124.956,154.1
125.555,154.275
126.126,154.434
126.636,154.58
127.13,154.711
127.749,154.889
128.309,155.04
128.792,155.182
129.296,155.319
129.824,155.473
130.322,155.624
130.843,155.762
131.346,155.891
131.834,156.01
132.325,156.126
132.956,156.27
133.543,156.406
134.154,156.545
134.746,156.677
135.379,156.822
135.87,156.928
136.364,157.046
136.87,157.148
137.376,157.265
137.878,157.378
138.411,157.494
138.973,157.632
139.587,157.769
140.19,157.903
140.775,158.046
141.35,158.188
141.929,158.337
142.57,158.512
143.267,158.691
143.991,158.874
144.709,159.058
145.196,159.191
145.688,159.324
146.188,159.457
146.675,159.607
147.208,159.731
147.733,159.874
148.267,160.023
148.805,160.154
149.347,160.302
149.874,160.447
150.408,160.589
150.956,160.737
151.523,160.885
152.098,161.037
152.654,161.193
153.228,161.344
153.802,161.5
154.37,161.656
154.93,161.814
155.482,161.97
156.044,162.124
156.625,162.283
157.206,162.442
157.787,162.601
158.379,162.768
158.93,162.914
159.484,163.064
160.002,163.19
160.543,163.303
161.113,163.457
161.726,163.64
162.342,163.79
162.934,163.912
163.552,164.085
164.143,164.236
164.739,164.401
165.36,164.554
165.974,164.697
166.58,164.851
167.19,165.002
167.802,165.147
168.411,165.285
169.009,165.432
169.634,165.571
170.244,165.733
170.869,165.884
171.473,166.028
172.109,166.184
172.724,166.341
173.338,166.487
173.962,166.63
174.582,166.788
175.181,166.923
175.776,167.059
176.377,167.2
176.992,167.322
177.602,167.459
178.2,167.593
178.806,167.743
179.401,167.873
180.026,168.008
180.642,168.121
181.246,168.233
181.872,168.336
182.497,168.434
183.149,168.534
183.798,168.631
184.44,168.723
185.107,168.789
185.774,168.853
186.437,168.908
187.087,168.938
187.769,168.961
188.449,168.985
189.131,168.977
189.842,168.966
190.519,168.958
191.206,168.922
191.891,168.878
192.585,168.832
193.308,168.751
194.013,168.678
194.689,168.616
195.367,168.508
196.039,168.391
196.73,168.259
197.376,168.147
198.036,168.013
198.683,167.866
199.356,167.724
200.021,167.551
200.701,167.372
201.36,167.195
202.038,166.986
202.707,166.79
203.38,166.583
204.054,166.353
204.704,166.124
205.375,165.886
206.012,165.643
206.648,165.386
207.284,165.111
207.897,164.837
208.529,164.538
209.135,164.24
209.734,163.93
210.327,163.613
210.908,163.277
211.509,162.931
212.103,162.595
212.683,162.245
213.242,161.906
213.799,161.565
214.32,161.186
214.899,160.85
215.424,160.483
215.944,160.165
216.506,159.793
217.041,159.435
217.579,159.082
218.148,158.677
218.716,158.284
219.284,157.88
219.823,157.482
220.373,157.083
220.941,156.666
221.506,156.256
222.078,155.825
222.639,155.405
223.215,154.98
223.788,154.565
224.363,154.136
224.958,153.707
225.553,153.282
226.132,152.859
226.737,152.42
227.348,151.967
227.974,151.515
228.621,151.049
229.241,150.584
229.847,150.118
230.465,149.676
231.103,149.206
231.725,148.733
232.374,148.262
233.03,147.77
233.682,147.277
234.323,146.801
234.972,146.321
235.629,145.866
236.295,145.389
236.966,144.924
237.634,144.461
238.299,143.986
238.993,143.49
239.68,143.004
240.337,142.53
241.019,142.042
241.7,141.558
242.375,141.075
243.036,140.607
243.702,140.135
244.379,139.651
245.044,139.189
245.703,138.728
246.363,138.272
247.021,137.812
247.691,137.35
248.343,136.882
248.993,136.432
249.649,135.977
250.319,135.516
250.962,135.077
251.631,134.605
252.291,134.153
252.922,133.714
253.619,133.246
254.276,132.807
254.954,132.357
255.634,131.906
256.283,131.441
256.94,130.997
257.612,130.547
258.251,130.099
258.916,129.674
259.539,129.236
260.156,128.78
260.792,128.333
261.408,127.873
262.034,127.428
262.653,126.969
263.301,126.499
263.956,125.998
264.601,125.495
265.248,125.02
265.886,124.525
266.523,124.042
267.153,123.566
267.783,123.083
268.403,122.629
269.035,122.171
269.643,121.723
270.27,121.262
270.886,120.798
271.52,120.332
272.147,119.856
272.767,119.389
273.388,118.901
274.013,118.427
274.622,117.951
275.234,117.477
275.861,117.041
276.452,116.584
277.049,116.153
277.618,115.714
278.2,115.3
278.769,114.875
279.345,114.443
279.936,114.013
280.519,113.576
281.102,113.145
281.679,112.725
282.267,112.306
282.846,111.897
283.427,111.463
284.008,111.052
284.583,110.649
285.153,110.276
285.711,109.907
286.246,109.534
286.786,109.157
287.298,108.803
287.796,108.46
288.285,108.135
288.749,107.811
289.187,107.487
289.63,107.18
290.047,106.889
290.456,106.597
290.86,106.299
291.448,105.888
292.013,105.496
292.551,105.111
293.053,104.757
293.536,104.4
293.982,104.085
294.495,103.72
294.915,103.423
295.362,103.115
295.773,102.828
296.231,102.497
296.701,102.172
297.193,101.84
297.659,101.527
298.106,101.222
298.525,100.933
298.925,100.63
299.375,100.345
299.791,100.05
300.266,99.727
300.695,99.454
301.18,99.119
301.734,98.752
302.217,98.419
302.73,98.07
303.291,97.698
303.894,97.296
304.327,97.025
304.772,96.728
305.245,96.433
305.731,96.139
306.22,95.834
306.744,95.524
307.306,95.211
307.881,94.904
308.454,94.601
309.045,94.292
309.661,93.99
310.308,93.683
310.947,93.374
311.609,93.061
312.29,92.755
312.975,92.465
313.628,92.181
314.295,91.908
314.967,91.648
315.64,91.408
316.32,91.169
317.009,90.939
317.673,90.715
318.382,90.475
319.079,90.271
319.802,90.075
320.506,89.881
321.211,89.702
321.923,89.527
322.652,89.362
323.379,89.205
324.126,89.057
324.872,88.921
325.619,88.785
326.384,88.672
327.17,88.562
327.966,88.482
328.748,88.407
329.557,88.352
330.328,88.307
331.116,88.248
331.937,88.206
332.734,88.162
333.54,88.109
334.339,88.063
335.157,88.018
335.979,87.98
336.801,87.944
337.609,87.916
338.407,87.879
339.214,87.852
340.046,87.824
340.864,87.801
341.667,87.776
342.476,87.774
343.297,87.761
344.096,87.744
344.911,87.736
345.703,87.701
346.517,87.686
347.319,87.665
348.103,87.645
348.888,87.61
349.663,87.58
350.444,87.563
351.192,87.522
351.953,87.475
352.708,87.434
353.459,87.394
354.214,87.324
354.96,87.293
355.712,87.236
356.482,87.189
357.257,87.149
358.021,87.101
358.787,87.078
359.557,87.049
360.328,87.028
361.094,86.988
361.866,86.952
362.621,86.911
363.377,86.862
364.145,86.825
364.906,86.767
365.674,86.737
366.431,86.7
367.217,86.651
367.998,86.603
368.773,86.509
369.576,86.455
370.353,86.394
371.118,86.349
371.888,86.297
372.654,86.252
373.39,86.194
374.127,86.174
374.869,86.14
375.611,86.106
376.344,86.069
377.047,86.034
377.778,85.998
378.508,85.964
379.222,85.953
379.943,85.955
380.648,85.946
381.348,85.923
382.053,85.915
382.746,85.91
383.437,85.929
384.141,85.93
384.827,85.944
385.52,85.927
386.234,85.905
386.954,85.859
387.679,85.793
388.376,85.709
389.086,85.606
389.797,85.479
390.457,85.335
391.132,85.215
391.796,85.037
392.435,84.869
393.082,84.678
393.746,84.477
394.374,84.25
395.022,84.004
395.656,83.763
396.306,83.5
396.931,83.188
397.559,82.887
398.168,82.569
398.762,82.203
399.336,81.846
399.905,81.456
400.472,81.053
401.029,80.647
401.562,80.193
402.059,79.761
402.553,79.268
402.98,78.776
403.407,78.262
403.83,77.775
404.216,77.24
404.587,76.68
404.949,76.08
405.294,75.486
405.552,74.861
405.836,74.281
406.102,73.654
406.329,72.971
406.522,72.306
406.681,71.621
406.819,70.921
406.918,70.226
406.966,69.553
406.998,68.836
406.991,68.125
406.994,67.478
406.933,66.806
406.882,66.084
406.787,65.395
406.68,64.697
406.55,63.994
406.382,63.322
406.199,62.646
406.014,61.962
405.771,61.32
405.549,60.674
405.308,60.003
405.018,59.423
404.794,58.782
404.47,58.166
404.154,57.559
403.795,56.94
403.212,56.0
402.871,55.305
402.435,54.734
402.041,54.169
401.618,53.6
401.188,53.001
400.772,52.396
400.324,51.831
399.872,51.241
399.457,50.697
399.024,50.154
398.54,49.607
398.041,49.04
397.55,48.487
397.012,47.924
396.515,47.374
395.966,46.825
395.438,46.266
394.875,45.744
394.373,45.205
393.816,44.695
393.305,44.186
392.763,43.69
392.277,43.162
391.716,42.641
391.166,42.096
390.627,41.6
390.086,41.084
389.568,40.593
389.016,40.103
388.476,39.598
387.919,39.09
387.363,38.558
386.832,38.027
386.281,37.496
385.752,36.986
385.218,36.503
384.648,35.982
384.013,35.461
383.437,34.941
382.855,34.391
382.321,33.877
381.802,33.36
381.259,32.804
380.724,32.281
380.189,31.76
379.655,31.233
379.11,30.676
378.572,30.143
378.052,29.608
377.503,29.081
376.941,28.588
376.397,28.079
375.834,27.52
375.295,26.967
374.75,26.429
374.194,25.862
373.591,25.311
373.012,24.731
372.463,24.169
371.926,23.631
371.34,23.086
370.777,22.572
370.21,22.065
369.65,21.548
369.088,21.023
368.545,20.509
367.976,20.012
367.391,19.499
366.814,18.975
366.234,18.49
365.648,17.954
365.076,17.454
364.496,16.929
363.851,16.433
363.298,15.919
362.703,15.419
362.134,14.937
361.58,14.516
360.973,13.997
360.358,13.471
359.756,12.953
359.165,12.454
358.563,11.967
357.992,11.479
357.426,11.008
356.858,10.543
356.289,10.079
355.788,9.646
355.22,9.176
354.7,8.786
354.199,8.377
353.664,7.921
353.145,7.459
352.607,7.023
352.052,6.549
351.507,6.073
350.973,5.58
350.414,5.08
349.82,4.569
349.241,4.086
348.654,3.573
348.073,3.058
347.506,2.535
346.907,2.023
346.333,1.51
345.755,1.009
345.164,0.492
344.578,-0.017
344.0,-0.51
343.418,-1.022
342.842,-1.544
342.276,-2.062
341.713,-2.569
341.138,-3.095
340.587,-3.6
340.03,-4.098
339.455,-4.584
338.902,-5.065
338.301,-5.539
337.703,-6.019
337.088,-6.515
336.51,-6.999
335.966,-7.474
335.405,-7.966
334.87,-8.437
334.345,-8.915
333.847,-9.385
333.32,-9.844
332.812,-10.311
332.295,-10.77
331.737,-11.238
331.191,-11.715
330.628,-12.174
330.136,-12.657
329.621,-13.105
329.096,-13.576
328.575,-14.051
328.015,-14.54
327.484,-15.028
326.9,-15.577
326.317,-16.027
325.823,-16.55
325.245,-17.038
324.674,-17.5
324.108,-17.946
323.532,-18.435
322.965,-18.929
322.387,-19.433
321.775,-19.954
321.164,-20.481
320.53,-21.018
319.878,-21.562
319.231,-22.117
318.581,-22.667
317.911,-23.218
317.271,-23.737
316.626,-24.313
315.987,-24.849
315.345,-25.393
314.724,-25.957
314.098,-26.511
313.484,-27.099
312.861,-27.654
312.233,-28.197
311.604,-28.745
311.004,-29.301
310.388,-29.875
309.75,-30.419
309.112,-30.977
308.489,-31.554
307.895,-32.096
307.297,-32.655
306.714,-33.177
306.122,-33.704
305.557,-34.233
304.991,-34.741
304.429,-35.233
303.863,-35.753
303.276,-36.248
302.694,-36.735
302.123,-37.242
301.527,-37.738
300.947,-38.219
300.354,-38.726
299.771,-39.209
299.195,-39.717
298.609,-40.192
298.023,-40.682
297.441,-41.177
296.853,-41.664
296.268,-42.153
295.671,-42.653
295.091,-43.141
294.51,-43.624
293.919,-44.131
293.366,-44.631
292.782,-45.141
292.18,-45.648
291.601,-46.152
291.002,-46.65
290.421,-47.143
289.827,-47.638
289.24,-48.128
288.656,-48.606
288.078,-49.1
287.489,-49.584
286.893,-50.067
286.291,-50.57
285.723,-51.046
285.138,-51.531
284.566,-52.004
283.986,-52.479
283.423,-52.967
282.875,-53.438
282.289,-53.932
281.663,-54.425
281.065,-54.901
280.438,-55.325
279.994,-55.88
279.495,-56.005
278.862,-56.383
278.205,-56.742
277.524,-57.061
276.84,-57.423
276.096,-57.829
275.49,-58.16
274.785,-58.482
274.093,-58.734
273.34,-58.949
272.592,-59.16
271.851,-59.391
271.114,-59.595
270.385,-59.75
269.636,-59.869
268.902,-59.989
268.137,-60.09
267.379,-60.148
266.61,-60.212
265.816,-60.278
265.046,-60.356
264.253,-60.459
263.475,-60.539
262.708,-60.603
261.922,-60.69
261.144,-60.762
260.331,-60.827
259.525,-60.886
258.723,-60.93
257.937,-61.008
257.152,-61.039
256.361,-61.107
255.573,-61.174
254.812,-61.262
254.055,-61.29
253.26,-61.388
252.465,-61.483
251.635,-61.541
250.828,-61.632
250.016,-61.706
249.201,-61.769
248.404,-61.878
247.587,-61.955
246.778,-62.048
245.973,-62.122
245.204,-62.201
244.413,-62.276
243.626,-62.348
242.821,-62.437
242.036,-62.515
241.278,-62.585
240.518,-62.663
239.76,-62.722
238.992,-62.794
238.277,-62.844
237.548,-62.895
236.88,-62.954
236.216,-63.008
235.592,-63.059
234.989,-63.121
234.421,-63.174
233.704,-63.234
233.097,-63.285
232.575,-63.318
232.01,-63.352
231.478,-63.383
230.788,-63.426
230.257,-63.456
229.735,-63.485
229.166,-63.52
228.593,-63.553
227.989,-63.579
227.353,-63.615
226.737,-63.636
226.087,-63.659
225.417,-63.703
224.345,-63.734
223.65,-63.733
223.061,-63.761
222.539,-63.77
221.783,-63.77
221.159,-63.781
220.575,-63.798
219.992,-63.807
219.459,-63.803
218.937,-63.809
218.403,-63.828
217.883,-63.851
217.381,-63.86
216.651,-63.891
215.947,-63.938
215.435,-63.974
214.886,-64.008
214.371,-64.041
213.848,-64.087
213.133,-64.154
212.431,-64.252
211.722,-64.327
211.031,-64.409
210.359,-64.47
209.729,-64.549
209.097,-64.642
208.478,-64.69
207.876,-64.788
207.246,-64.841
206.613,-64.941
205.928,-65.063
205.413,-65.148
204.664,-65.277
204.145,-65.367
203.62,-65.438
203.075,-65.521
202.511,-65.605
201.937,-65.693
201.324,-65.825
200.722,-65.905
200.15,-65.982
199.585,-66.1
199.068,-66.171
198.514,-66.265
197.948,-66.377
197.388,-66.426
196.811,-66.508
196.251,-66.592
195.595,-66.674
194.97,-66.77
194.376,-66.815
193.798,-66.898
193.214,-66.966
192.203,-67.024
191.685,-67.133
191.106,-67.18
190.468,-67.257
189.81,-67.3
189.251,-67.364
188.641,-67.375
188.04,-67.419
187.409,-67.494
186.856,-67.501
186.269,-67.488
185.695,-67.465
185.132,-67.417
184.591,-67.394
184.078,-67.37
183.354,-67.276
182.852,-67.228
182.114,-67.144
181.612,-67.066
181.04,-66.991
180.516,-66.893
179.948,-66.798
179.416,-66.739
178.884,-66.693
178.346,-66.616
177.835,-66.549
177.299,-66.509
176.791,-66.468
176.294,-66.404
175.545,-66.317
175.045,-66.235
174.301,-66.114
173.597,-66.01
172.881,-65.897
172.214,-65.8
171.59,-65.644
170.977,-65.601
170.407,-65.514
169.849,-65.434
169.212,-65.324
168.619,-65.201
168.086,-65.118
167.507,-65.02
166.994,-64.941
166.492,-64.848
165.904,-64.769
165.362,-64.679
164.867,-64.583
164.278,-64.488
163.686,-64.401
163.16,-64.311
162.589,-64.223
161.972,-64.15
161.301,-64.065
160.573,-63.969
160.058,-63.9
159.554,-63.826
159.017,-63.768
158.447,-63.701
157.862,-63.64
